76,93,85,1,					//下地のカラーR,G,B,点線,
6,	//A
833,885,						//1
833,1008,						//2
1105,1008,					//3
1105,825,						//4
1105,603,						//5
1105,470,						//6
6,	//B
470,637,						//1
488,859,						//2
488,1043,						//3
652,1043,						//4
652,889,						//5
744,669,						//6
3,	//C
1103,861,						//1
1103,697,						//2
1103,522,						//3
1,	//D
1103,697,						//1
6,	//E
1107,724,						//1
1102,1005,						//2
832,880,					//3
748,665,						//4
490,978,						//5
470,635,						//6
//ステージ数
//x,y,