35,-1,-1,-1,-1,    //マップ番号 0～16,　アイテム報酬型ステージ設定(-1:OFF),　スコア報酬型ステージ設定(-1:OFF)
4,					//マップパターン 0～
250,4750,31,100,31,3,167,2,-4,4,167,3,3,167,4,-1, //1ステージ
250,4750,30,99,33,3,168,2,-4,4,168,3,3,168,4,-1, //2ステージ
250,4750,31,99,32,5,169,1,-4,5,169,2,-1, //3ステージ
250,4750,3,100,3,5,170,1,-4,5,170,2,-1, //4ステージ


//狩人の地図②
//消費統率力			0
//クリア時の獲得XP		1
//サウンド（スタート時）	2
//サウンド ボス出現時の城体力％	3
//サウンド（ボス）		4
//アイテム入手確率		0～100%
//アイテム番号	0:スピードアップ	1:トレジャーレーダー	2:ネコボン	3:ニャンピュータ	4：おかめはちもく	5:スニャイパー	6:XP	11:にゃんこチケット	12：レアチケット
