stageID,星解放,星1倍率,星2倍率,星3倍率,星4倍率,ゲリラset,報酬リセットType,1度きり表示,表示順,インターバル,挑戦フラグ,マップ難易度,クリア後非表示,マップ名
0,4,100,150,200,300,0,0,0,0,0,0,7,0,レジェンドステージ：伝説の始まり
1,4,100,150,200,300,0,0,0,0,0,0,4,0,レジェンドステージ：情熱の国
2,4,100,150,200,300,0,0,0,0,0,0,12,0,レジェンドステージ：グルコサミン砂漠
3,4,100,150,200,300,0,0,0,0,0,0,8,0,レジェンドステージ：猫ども海を渡る
4,4,100,150,200,300,0,0,0,0,0,0,8,0,レジェンドステージ：見つめてキャッツアイ
5,4,100,150,200,300,0,0,0,0,0,0,24,0,レジェンドステージ：ウエスタン街道
6,4,100,150,200,300,0,0,0,0,0,0,16,0,レジェンドステージ：マグロ海域
7,4,100,150,200,300,0,0,0,0,0,0,16,0,レジェンドステージ：バンブー島
8,4,100,150,200,300,0,0,0,0,0,0,16,0,レジェンドステージ：ぷにぷに鍾乳洞
9,4,100,150,200,300,0,0,0,0,0,0,48,0,レジェンドステージ：ボルケーノ火山
10,4,100,150,200,300,0,0,0,0,0,0,32,0,レジェンドステージ：千里の道
11,4,100,150,200,300,0,0,0,0,0,0,32,0,レジェンドステージ：アオ・ザ・カナ
12,4,100,150,200,300,0,0,0,0,0,0,32,0,レジェンドステージ：軍艦島
13,4,100,150,200,300,0,0,0,0,0,0,32,0,レジェンドステージ：つめとぎの廊下
14,4,100,150,200,200,0,0,0,0,0,0,32,0,レジェンドステージ：パルテノン神殿
15,4,100,150,200,200,0,0,0,0,0,0,32,0,レジェンドステージ：ずんどこ海水浴場
16,4,100,150,200,200,0,0,0,0,0,0,32,0,レジェンドステージ：アルカトラズ島
17,4,100,150,170,150,0,0,0,0,0,0,96,0,レジェンドステージ：脱獄トンネル
18,4,100,150,170,140,0,0,0,0,0,0,64,0,レジェンドステージ：カポネの監獄
