스피드 업|전투 스피드가 2배속이 됩니다|전투 중, 아이템 아이콘을 누르면|ON·OFF 가능합니다|＠|
트레저 레이더|보물 출현율이 100%로 상승!|클리어하면 반드시 최고급 보물을|획득할 수 있습니다|＠|
고양이 도령|전투 시작부터 일 고양이의 지갑 사이즈가|MAX 상태에서 스타트합니다|＠||
야옹컴|고양이형 CPU가 전투를 대신 해줍니다|단, 고양이형이므로 성능은...|＠||
고양이 박사|클리어 후에 받을 수 있는 |경험치가 1.5배가 됩니다|＠||
스냥이퍼|스나이퍼가 지원사격을 해줍니다|총알에 맞으면 반드시 히트 백!|공격력은 성의 체력에 비례합니다|＠|
XP|캐릭터의 레벨을 |올릴 수 있습니다.|＠||
NP|＠||||
dummy|＠||||
dummy|＠||||
XP 5000|＠||||
XP 10000|＠||||
XP 30000|＠||||
XP 50000|＠||||
XP 100000|＠||||
XP 200000|＠||||
XP 500000|＠||||
XP 1000000|＠||||
XP 2000000|＠||||
XP 500000|＠||||
냥코 티켓|＠||||
레어 티켓|＠||||
고양이 통조림|아이템이나 경험치를 구입할 수 있습니다.|＠|||
럭키 티켓|＠||||
|＠||||
|＠||||
럭키 티켓|＠||||
럭키 티켓|＠||||
럭키 티켓|＠||||
플래티넘 티켓|＠||||
보라 개다래나무의 씨앗|냥코를 더욱 강하게 클래스 체인지 시킬 수 있는|환상의 개다래나무의 씨앗|＠||
빨강 개다래나무의 씨앗|냥코를 더욱 강하게 클래스 체인지 시킬 수 있는|환상의 개다래나무의 씨앗|＠||
파랑 개다래나무의 씨앗|냥코를 더욱 강하게 클래스 체인지 시킬 수 있는|환상의 개다래나무의 씨앗|＠||
초록 개다래나무의 씨앗|냥코를 더욱 강하게 클래스 체인지 시킬 수 있는|환상의 개다래나무의 씨앗|＠||
노랑 개다래나무의 씨앗|냥코를 더욱 강하게 클래스 체인지 시킬 수 있는|환상의 개다래나무의 씨앗|＠||
보라 개다래 열매|냥코를 더욱 강하게 클래스 체인지 시킬 수 있는|환상의 개다래나무의 열매|＠||
빨강 개다래 열매|냥코를 더욱 강하게 클래스 체인지 시킬 수 있는|환상의 개다래나무의 열매|＠||
파랑 개다래 열매|냥코를 더욱 강하게 클래스 체인지 시킬 수 있는|환상의 개다래나무의 열매|＠||
초록 개다래 열매|냥코를 더욱 강하게 클래스 체인지 시킬 수 있는|환상의 개다래나무의 열매|＠||
노랑 개다래 열매|냥코를 더욱 강하게 클래스 체인지 시킬 수 있는|환상의 개다래나무의 열매|＠||
무지개 개다래 열매|냥코를 더욱 강하게 클래스 체인지 시킬 수 있는|환상의 개다래나무의 열매|＠||
고대 개다래나무의 씨앗|냥코를 더욱 강하게 클래스 체인지 시킬 수 있는|환상의 개다래나무의 씨앗|＠||
고대 개다래 열매|냥코를 더욱 강하게 클래스 체인지 시킬 수 있는|환상의 개다래나무의 열매|＠||
무지개 개다래나무의 씨앗|냥코를 더욱 강하게 클래스 체인지 시킬 수 있는|환상의 개다래나무의 씨앗|＠||
황금 개다래 열매|냥코를 더욱 강하게 클래스 체인지 시킬 수 있는|환상의 개다래나무의 열매|＠||
럭키 티켓|＠||||
럭키 티켓|＠||||
럭키 티켓|＠||||
럭키 티켓|＠||||
럭키 티켓|＠||||
캣츠아이【EX】|특정 EX캐릭터의 레벨 상한을 해방시킬 수 있습니다.|※레벨30 달성 후 사용할 수 있습니다|＠||
캣츠아이【레어】|레어 캐릭터의 레벨 상한을 해방시킬 수 있습니다.|※레벨30 달성 후 사용할 수 있습니다|＠||
캣츠아이【슈퍼 레어】|슈퍼 레어 캐릭터의 레벨 상한을 해방시킬 수 있습니다.|※레벨30 달성 후 사용할 수 있습니다|＠||
캣츠아이【울트라 슈퍼 레어】|울트라 슈퍼 레어 캐릭터의 레벨 상한을 해방시킬 수 있습니다.|※레벨30 달성 후 사용할 수 있습니다|＠||
캣츠아이【레전드】|기본 캐릭터 이외의 캐릭터의 레벨 상한을 해방시킬 수 있습니다.|※레벨30 달성 후 사용할 수 있습니다|＠||
고양이 드링크A|가마토토의 작업시간을 1시간|단축할 수 있습니다.|＠||
고양이 드링크B|가마토토의 작업시간을 3시간|단축할 수 있습니다.|＠||
고양이 드링크C|가마토토의 작업시간을 6시간|단축할 수 있습니다.|＠||
캣츠아이【다크】|울트라 슈퍼 레어의 레벨 상한을 Lv51 이상 해방시킬 수 있습니다.|※레벨30 달성한 기본 캐릭터 이외의 캐릭터에도 사용 가능|||
|＠||||
냥코 대포 공격력|공격력이 상승합니다|단, 충전 시간이 약간 늘어납니다||＠|
냥코 대포 사정거리|사정거리가 늘어납니다|||＠|
냥코 대포 충전|레이저 발사까지|충전 시간이 빨라집니다||＠|
일 고양이의 일 효율|일 고양이의 일 효율을 올리면|머니의 증가 스피드가 빨라집니다||＠|
일 고양이의 지갑|일 고양이의 지갑 사이즈를 늘립니다|전투 중에 모을 수 있는 머니가 증가합니다||＠|
성 체력|냥코성의 체력이 상승합니다|||＠|
연구력|캐릭터의 생산 스피드를|올릴 수 있습니다||＠|
회계력|적을 물리칠 때마다 받는 머니를|늘릴 수 있습니다||＠|
공부력|스테이지 클리어 시에 받을 수 있는|경험치를 상승시킬 수 있습니다||＠|
통솔력|스테이지 진행시 필요한|통솔력을 상승시킬 수 있습니다||＠|
냥코 대원:더미1|＠||||
냥코 대원:더미2|＠||||
냥코 대원:더미3|＠||||
냥코 대원:더미4|＠||||
냥코 대원:더미5|＠||||
럭키 티켓|＠||||
럭키 티켓|＠||||
럭키 티켓G|＠||||
XP 100000|＠||||
|＠||||
경험치A|경험치를 고양이 통조림으로 구입할 수 있습니다|＠|＠|＠|
경험치B|경험치를 고양이 통조림으로 구입할 수 있습니다|＠|＠|＠|
경험치C|경험치를 고양이 통조림으로 구입할 수 있습니다|＠|＠|＠|
경험치D|경험치를 고양이 통조림으로 구입할 수 있습니다|＠|＠|＠|
경험치E|경험치를 고양이 통조림으로 구입할 수 있습니다|＠|＠|＠|
벽돌|냥코성 개발에 필요한 전설의 재료|＠|＠|＠|
깃털|냥코성 개발에 필요한 전설의 재료|＠|＠|＠|
참숯|냥코성 개발에 필요한 전설의 재료|＠|＠|＠|
철 톱니바퀴|냥코성 개발에 필요한 전설의 재료|＠|＠|＠|
황금|냥코성 개발에 필요한 전설의 재료|＠|＠|＠|
우주석|냥코성 개발에 필요한 전설의 재료|＠|＠|＠|
수수께끼의 뼈|냥코성 개발에 필요한 전설의 재료|＠|＠|＠|
조수|냥코성 개발을 도와주는 조수|＠|＠|＠|
럭키 티켓|＠|||
럭키 티켓G|＠|||
럭키 티켓G|＠|||
럭키 티켓G|＠|||
럭키 티켓G|＠|||
럭키 티켓G|＠|||
