【イースターエッグ発見！ 1個目】<br>「XP＋5,000」をゲットした！！	1日目
【イースターエッグ発見！ 2個目】<br>「スピードアップ＋1」をゲットした！！	2日目
【イースターエッグ発見！ 3個目】<br>「ネコボン＋1」をゲットした！！	3日目
【イースターエッグ発見！ 4個目】<br>「XP＋10,000」をゲットした！！	4日目
【イースターエッグ発見！ 5個目】<br>「トレジャーレーダー＋1」をゲットした！！	5日目
【イースターエッグ発見！ 6個目】<br>「ニャンピュータ＋1」をゲットした！！	6日目
【イースターエッグ発見！ 7個目】<br>「XP＋15,000」をゲットした！！	7日目
【イースターエッグ発見！ 8個目】<br>「スニャイパー＋1」をゲットした！！	8日目
【イースターエッグ発見！ 9個目】<br>「レアチケット＋1」をゲットした！！	9日目
【イースターエッグ発見！ 10個目】<br>「XP＋20,000」をゲットした！！	10日目
【イースターエッグ発見！ 11個目】<br>「ニャンピュータ＋1」をゲットした！！	11日目
【イースターエッグ発見！ 12個目】<br>「トレジャーレーダー＋1」をゲットした！！	12日目
【イースターエッグ発見！ 13個目】<br>「にゃんこチケット＋1」をゲットした！！	13日目
【イースターエッグ発見！ 14個目】<br>「おかめはちもく＋1」をゲットした！！	14日目
