Trésors à gogo	#00acee
Trésors à gogo (Empire)	100
Trésors à gogo (Futur)	101
Trésors à gogo (Cosmos)	104
Événement orbes de talent	#864a2b
Île aux trésors cachés	24055
Blitz du bâtisseur	#374f8e
Caverne des comètes	1150
Île cendrée	1151
Détroit ailé	1152
Événement Ticket chapsule	#ff6600
Ticket Chapsule à la clé !	1006
Siège de l’hippo !	1007
Face au danger	1078
Événement d'Entraînement	#ff00ff
Lieu XP	1028
Megablitz XP !	1059
Colisée XP	1124
XP sans répit !	1155
Moisson d'XP !	1319
Zone d'essais	1250
Évén. d’évol. de matériau	#008f03
Croissance étrange	1162
Croissance épique	1222
Mal grandissant	1274
Buffet de Chagrumes	1118
Épopée minière	1326
Lieux quotidiens	#82318e
Lieu blitz lun.	1073
Lieu blitz mar.	1074
Lieu blitz mer.	1075
Lieu blitz jeu.	1076
Lieu blitz ven.	1077
Év. Abattage de Béhémoths	#5f801f
Forêt cachée de Gapra	31000
Désert d'Ashvini	31001
Volcan de Jinfore	31002
Évt. Recherche Impériale	#3f7bd4
Confluence arcanique	1255
Serviteur des ténèbres	1256
Chat méchant	1257
Tank méchant	1258
Parc du démon	1265
Chat borgne méchant	1266
