Energy drink|Attivato!|Gatto impiegato più efficiente!|
Gran cassaforte|Attivata!|Portafogli Gatto impiegato più ampio!|
Orologio relatività|Attivato!|Produzione dei Gatti più rapida!|
Pietra filosofale|Attivata!|XP ricevuti in battaglia aumentati!|
Parete smart|Attivata!|Salute Base felina aumentata!|
Super cassa|Attivata!|Più soldi per sconfiggere i nemici!|
Scudo Gatto leggend.|Attivato!|Salute Gatti aumentata!|
Spada Gatto leggend.|Attivata!|Attacco Gatti aumentato!|
Nucleo di energia|Attivato!|Attacco cannone felino aumentato!|
Turbo-macchina|Attivata!|Ricarica cannone felino più veloce!|
Bibbia gestionale|Attivata!|Energia felina massima aumentata!|
???|Non hai ottenuto abbastanza|tesori felini per l'attivazione.|
???|Con tutti questi tesori puoi accelerare|la produzione di soldi in battaglia!|
???|Con tutti questi tesori puoi ampliare|il portafogli Gatto impiegato!|
???|Con tutti questi tesori puoi accelerare|la produzione di Gatti in battaglia.|
???|Con tutti questi tesori puoi aumentare|gli XP quando superi un livello.|
???|Con tutti questi tesori puoi aumentare|la salute della tua Base felina|
???|Con tutti questi tesori puoi aumentare|i soldi per la sconfitta di un nemico!|
???|Con tutti questi tesori puoi aumentare|la salute dei Gatti|
???|Con tutti questi tesori puoi aumentare|la potenza d'attacco dei Gatti|
???|Con tutti questi tesori puoi aumentare|la potenza d'attacco del cannone felino|
???|Con tutti questi tesori puoi accelerare|la ricarica del cannone felino|
???|Con tutti questi tesori puoi aumentare|l'energia massima|
