0|캐릭터의 레벨을 올려|냥코들을 파워 업 시키면|강적도 쓰러트릴 수 있을 거다냥!|＠|＠
0|이미 클리어 한 스테이지에서|경험치를 모아 재도전하자냥!|＠|＠|＠
0|아무리 해도 이길 수 없을 때는|각지의 보물을 모아보는 게 좋다냥!|냥코들의 파워가|몇 배로 강해질 거다냥!|＠
1|코스트가 저렴한 냥코를 많이 생산해서|원거리 공격을 할 수 있는 냥코를 지키자냥!|냥코 군단을 승리로 이끌 수 있는|전투의 비결이다냥!|＠
2|가끔은 신의 힘을|빌려보는 것도 좋을 것 같다냥!|＠|＠|＠
3|아이템을 쓰면|전투를 유리하게 진행시킬 수 있다냥!|아이템은 요일 스테이지에서|손에 넣을 수 있다냥!|＠
4|제1장에서 수집한 보물의 효과는|제2장에서도 발동 시킬 수 있다냥!|아무리 해도 이길 수 없을 때는 보물을|모아 대폭 파워 업 하자냥!|＠
5|조잡한 보물보다 최고급 보물이|더욱더 효과가 크다냥!|최고급 보물을 전부|모아 강해지는 거다냥!|＠
5|범위 공격을 가진 캐릭터는|귀찮은 적들을 한꺼번에 물리쳐 준다냥!|범위 공격을 가진 EX캐릭터를|효과적으로 출진시키자냥!|＠
6|기본 캐릭터를 제3형태까지 진화시키면|큰 전력 UP이 된다냥!|냥코 티켓을 손에 넣어|기본 캐릭터를 강하게 만들자냥!|＠
7|에이리언은 정말 강하다냥!|세계편을 클리어해서 캐릭터의|레벨을 올리거나 에이리언에 세지는|보물을 모아 재도전하는 거다냥!|＠
8|세계편에서 모은 보물의 효과는|미래편에서도 유효하다냥!|최고급 보물을 많이 모아 다시 도전하자냥!|＠|＠
9|유저 랭크를 올리면 냥코를|더욱 강화시킬 수 있게 된다냥!|유저 랭크는 냥코들을 파워 업 시키면|올릴 수 있다냥!|＠
10|이길 수 없을 때는 미래편의 보물을 모아|에이리언에 강해지자냥!|냥콤보를 잘 사용해서|다시 한번 도전이다냥!|＠
11|고양이 기지의 냥코 말풍선을 탭하면|공략의 힌트가 되는 냥지식을|많이 얻을 수 있다냥!|＠|＠
