Hol dir mehr Geld|Tippe auf das vom Pfeil markierte Symbol und|erhöhe das Geldproduktionstempo!|＠|Hol dir mehr Geld|Die Kapazität des Tresors erhöht sich auch|und gewährt dir einen Ressourcenvorteil!|＠||||||||
Produziere Katzen|Schicken wir ein paar Katzen in die Schlacht!|Tippe unten auf das Symbol!|＠|Produziere Katzen|Katzen greifen den Feind automatisch an.|Scheffle erst Geld und|produziere mehr Katzen!|＠|||||||
Feuere die Katzenkanone ab!|Ein Symbol erscheint, wenn die Katzenkanone|zum Feuern bereit ist. Locke Feinde in|Reichweite, und dann: FEUER!|＠|||||||||||
Wechsle die Einheitenleiste!|Wenn du mehr als 6 Katzenarten hast,|kannst du ganz einfach zwischen|ihnen wechseln.|＠|||||||||||
Glaubst du an Gott?|Tippe oben auf die Schaltfläche für Hilfe!|Du solltest an Wunder glauben!|＠||||||||||||
Nutze Gegenstände effizient!|Diese Gegenstände werden momentan benutzt!|Tippe auf das Symbol zum|Aktivieren oder Deaktivieren.|＠|||||||||||
Katzenorganisieren leicht gemacht|Tippe auf das Symbol der Katze,|die du benutzen willst, und ziehe sie zum|Platz oben für den Einsatz im Kampf.|Katzenorganisieren noch leichter gemacht|Tippe auf das Symbol der Katze, die du|nutzen willst, um sie auszuwählen oder ziehe|die Katze nach unten, um sie zu entfernen.|＠|||||||
So benutzt man Gegenstände|Tippe hier, um Gegenstände zu benutzen!|Hinweis:|Wähle deine Gegenstände vor dem Kampf aus!|＠|||||||||||
Katzenbatzen für Anfänger|Katzenbatzen sind eine Währung, die du|im Futterladen oder bei Events erhältst.|＠|Katzenbatzen für Anfänger, Teil 2|Tippe aufs Symbol, um Katzenbatzen zu kaufen.|Hinweis:|Eine stabile Netzwerkverbindung ist erforderlich.|＠|||||||
Die erste Offenbarung! Der Katzengott erscheint!|Eigentlich kostet seine Hilfe Katzenbatzen,|… aber diesmal gibt es sie GRATIS!|Tippe auf das Symbol!|＠|||||||||||
|||＠||||||||||||
|||＠||||||||||||
|||＠||||||||||||
|||＠||||||||||||
|||＠||||||||||||
|||＠||||||||||||
|||＠||||||||||||
|||＠|＠|＠|＠|＠|＠|＠|＠|
|||＠|＠|＠|＠|＠|＠|＠|＠|
|||＠|＠|＠|＠|＠|＠|＠|＠|
|||＠|＠|＠|＠|＠|＠|＠|＠|
|||＠|＠|＠|＠|＠|＠|＠|＠|
|||＠|＠|＠|＠|＠|＠|＠|＠|
|||＠|＠|＠|＠|＠|＠|＠|＠|
Einheitenanzeige|Öffne die Einstellungen im Pause-Menü, um|deine Einheiten in 2 Reihen anzuzeigen.|＠|＠|＠|＠|＠|＠|＠|＠|
