เทศกาลสมบัติ	#00acee
เทศกาลสมบัติ (จักรวรรดิ)	100
เทศกาลสมบัติ (อนาคต)	101
เทศกาลสมบัติ (ห้วงอวกาศ)	104
อีเวนต์ลูกแก้วพรสวรรค์	#864a2b
เกาะแห่งสมบัติลับ	24055
บลิตซ์ผู้สร้าง	#374f8e
ถ้ำดาวตก	1150
เกาะเถ้ากระดูก	1151
สยายปีก	1152
อีเวนต์ตั๋วธรรมดา	#ff6600
โอกาสรับตั๋วแมว!	1006
การยึดครองของฮิปโป!	1007
เผชิญอันตราย	1078
อีเวนต์ฝึกฝน	#ff00ff
ด่าน XP	1028
XP เมกะบลิตซ์!	1059
XP ถล่มทลาย	1124
XP ไร้ปรานี!	1155
ขุมทรัพย์ XP!	1319
สนามพิสูจน์ฝีมือ	1250
อีเวนต์วัสดุวิวัฒน์	#008f03
อาวุโสเปล่งแสง	1162
เอปิกเปล่งแสง	1222
ชั่วเปล่งแสง	1274
บุฟเฟ่ต์ผลไม้เหมียว	1118
ขุดเหมืองเอปิก	1326
ด่านรายวัน	#82318e
ด่านบลิตซ์วันจันทร์	1073
ด่านบลิตซ์วันอังคาร	1074
ด่านบลิตซ์วันพุธ	1075
ด่านบลิตซ์วันพฤหัส	1076
ด่านบลิตซ์วันศุกร์	1077
อีเวนต์ล่าเบอฮีมอธ	#5f801f
ป่าลับแห่งกาปร้า	31000
ทะเลทรายแอชวินี	31001
ภูเขาไฟจินโฟร์	31002
อีเวนต์การวิจัยของจักรพรรดินี	#3f7bd4
แหล่งรวมความลี้ลับ	1255
ผู้รับใช้แห่งความมืด	1256
แมวชั่วร้าย	1257
แทงก์ชั่วร้าย	1258
สวนปีศาจ	1265
ขวานชั่วร้าย	1266
