76,93,85,0,					//下地のカラー
6,	//A
874,914,						//1
1115,747,						//2
1131,616,						//3
606,618,						//4
873,752,						//5
870,503,						//6
2,	//B
871,856,						//1
871,514,						//2
3,     //C
722,877,						//1
871,749,						//2
871,514,						//3
1,     //D
870,626,						//1
8,	//E
874,914,						//1
1115,747,						//2
1131,616,						//3
606,618,						//4
873,752,						//5
870,503,						//6
870,360,						//7
700,820,						//8
5,	//F
874,914,						//1
630,747,						//2
1131,618,						//3
870,618,						//4
870,503,						//5
10,	//G
872,887,						//1
725,812,						//2
613,641,						//3
724,648,						//4
870,721,						//5
1030,848,						//6
1120,677,						//7
1010,610,						//8
872,606,						//9
871,467,						//10
//ステージ数
//x,y,統率力,XP
