Energydrink|Aktiviert!|Arbeiterkatzentempo erhöht!|
Riesiger Tresor|Aktiviert!|Arbeiterkatzentresor-Kapazität erhöht!|
Relativitätsuhr|Aktiviert!|Produktionstempo von Katzen erhöht!|
Stein der Weisen|Aktiviert!|XP aus Kämpfen erhöht!|
Smartes-Material-Wand|Aktiviert!|Katzenbasis-Haltbarkeit erhöht!|
Superkasse|Aktiviert!|Geld für den Sieg gegen Feinde erhöht!|
Legendärer Katzenschild|Aktiviert!|Katzengesundheit erhöht!|
Legendäre Katzenklinge|Aktiviert!|Katzen-Angriffskraft erhöht!|
Energiekern|Aktiviert!|Katzenkanonen-Angriff erhöht!|
Turbomaschine|Aktiviert!|Katzenkanonen-Nachladetempo erhöht!|
Management-Handbuch|Aktiviert!|Maximale Katzenenergie erhöht!|
???|Du hast nicht genug Katzenschätze,|um dies zu aktivieren.|
???|Sammle alle Schätze und beschleunige|die Geldproduktion im Kampf!|
???|Sammle alle Schätze und erhöhe|die Kapazität des Katzenarbeiter-Tresors!|
???|Sammle alle Schätze und erhöhe|das Katzenproduktionstempo im Kampf!|
???|Sammle alle Schätze und erhöhe|die XP-Menge beim Levelabschluss!|
???|Sammle alle Schätze und erhöhe|die Haltbarkeit der Katzenbasis!|
???|Sammle alle Schätze und erhöhe|die Geldmenge für besiegte Feinde!|
???|Sammle alle Schätze und|erhöhe die Katzengesundheit!|
???|Sammle alle Schätze und|erhöhe die Katzen-Angriffskraft!|
???|Sammle alle Schätze und erhöhe|den Katzenkanonen-Angriff!|
???|Sammle alle Schätze und erhöhe|das Nachladetempo der Katzenkanone!|
???|Sammle alle Schätze und|erhöhe die Maximalenergie!|
