【上課前先點名：第1天】<br>恭喜獲得「傳說的情書＋1」！！	第1天
【上課前先點名：第2天】<br>恭喜獲得「傳說的情書＋1」！！	第2天
【上課前先點名：第3天】<br>恭喜獲得「傳說的情書＋1」！！	第3天
【上課前先點名：第4天】<br>恭喜獲得「傳說的情書＋1」！！	第4天
【上課前先點名：第5天】<br>恭喜獲得「貓咪券＋1」！！	第5天
【上課前先點名：第6天】<br>恭喜獲得「傳說的情書＋1」！！	第6天
【上課前先點名：第7天】<br>恭喜獲得「傳說的情書＋1」！！	第7天
【上課前先點名：第8天】<br>恭喜獲得「傳說的情書＋1」！！	第8天
【上課前先點名：第9天】<br>恭喜獲得「傳說的情書＋1」！！	第9天
【上課前先點名：第10天】<br>恭喜獲得「稀有券＋1」！！	第10天
【上課前先點名：第11天】<br>恭喜獲得「傳說的情書＋2」！！	第11天
【上課前先點名：第12天】<br>恭喜獲得「傳說的情書＋2」！！	第12天
【上課前先點名：第13天】<br>恭喜獲得「傳說的情書＋2」！！	第13天
【上課前先點名：第14天】<br>恭喜獲得「傳說的情書＋2」！！	第14天
【上課前先點名：第15天】<br>恭喜獲得「貓咪券＋1」！！	第15天
【上課前先點名：第16天】<br>恭喜獲得「傳說的情書＋3」！！	第16天
【上課前先點名：第17天】<br>恭喜獲得「傳說的情書＋3」！！	第17天
【上課前先點名：第18天】<br>恭喜獲得「傳說的情書＋3」！！	第18天
【上課前先點名：第19天】<br>恭喜獲得「傳說的情書＋3」！！	第19天
【上課前先點名：第20天】<br>恭喜獲得「稀有券＋1」！！	第20天
【上課前先點名：第21天】<br>恭喜獲得「傳說的情書＋4」！！	第21天
【上課前先點名：第22天】<br>恭喜獲得「傳說的情書＋4」！！	第22天
