0,-1,0,ガマトト,＠,＠,＠,
1,0,1,にゃんた,下っ端,下積み中の見習い隊員,アイテム発見効率アップ【小】,
2,0,1,しきお,下っ端,下積み中の見習い隊員,アイテム発見効率アップ【小】,
3,0,1,たま,下っ端,下積み中の見習い隊員,アイテム発見効率アップ【小】,
4,0,1,ぷんぷん,下っ端,下積み中の見習い隊員,アイテム発見効率アップ【小】,
5,0,1,じろー,下っ端,下積み中の見習い隊員,アイテム発見効率アップ【小】,
6,0,1,でんでん,下っ端,下積み中の見習い隊員,アイテム発見効率アップ【小】,
7,0,1,ぱーこ,下っ端,下積み中の見習い隊員,アイテム発見効率アップ【小】,
8,0,1,みけ,下っ端,下積み中の見習い隊員,アイテム発見効率アップ【小】,
9,0,1,どら,下っ端,下積み中の見習い隊員,アイテム発見効率アップ【小】,
10,0,1,こたろー,下っ端,下積み中の見習い隊員,アイテム発見効率アップ【小】,
11,0,1,ごん,下っ端,下積み中の見習い隊員,アイテム発見効率アップ【小】,
12,0,1,ざりがに,下っ端,下積み中の見習い隊員,アイテム発見効率アップ【小】,
13,0,1,ひろき,下っ端,下積み中の見習い隊員,アイテム発見効率アップ【小】,
14,0,1,きゅうり,下っ端,下積み中の見習い隊員,アイテム発見効率アップ【小】,
15,0,1,たぴおか,下っ端,下積み中の見習い隊員,アイテム発見効率アップ【小】,
16,0,1,げんげん,下っ端,下積み中の見習い隊員,アイテム発見効率アップ【小】,
17,0,1,せんべい,下っ端,下積み中の見習い隊員,アイテム発見効率アップ【小】,
18,0,1,かっしー,下っ端,下積み中の見習い隊員,アイテム発見効率アップ【小】,
19,0,1,ぺろ,下っ端,下積み中の見習い隊員,アイテム発見効率アップ【小】,
20,0,1,あい,下っ端,下積み中の見習い隊員,アイテム発見効率アップ【小】,
21,0,1,ちょこ,下っ端,下積み中の見習い隊員,アイテム発見効率アップ【小】,
22,0,1,えの,下っ端,下積み中の見習い隊員,アイテム発見効率アップ【小】,
23,0,1,ぷるりん,下っ端,下積み中の見習い隊員,アイテム発見効率アップ【小】,
24,0,1,おふくろ,下っ端,下積み中の見習い隊員,アイテム発見効率アップ【小】,
