ข้าจะแสดงปาฏิหาริย์ให้ดู| แบบเจ๋งๆ ด้วย *โอมมมม! มะลึกกึกกึ๋ย!|
เอาล่ะ|เลือกที่อยากได้เลย|
ไม่ต้องห่วงนะ|ข้ามีเวลาเหลือเฟือ|
ยังเลือกอยู่อีกเหรอ?|โลเลไม่เปลี่ยนเลยนะ|
โอ้ โทษที กำลังนอนอยู่||
โอ้ โทษที พอดีไม่ได้ฟังน่ะ||
ใครๆ ก็อยากโรแมนติกทั้งนั้น ข้าก็ด้วย|แต่แค่บางครั้งนะ|
ปาฏิหาริย์จะเกิดกับอาหารแมวที่เจ้ามี||
บางครั้งข้าก็เหนื่อย|ที่ต้องเป็นที่พึ่งของทุกคน|
ตอนนี้เหรอ? จริงสิ?|แต่ข้ากำลังยุ่งอยู่|
โอ๊ย คราวนี้มีอะไรอีก?|โอ้ เจ้าอีกแล้ว|
คนบอกว่ามนุษย์ยืนสูงสง่า|งั้นแปลว่าเจ้ายืนอยู่บนคนตัวสูงเหรอ? แปลกคน|
เจ้าไม่มีปีกกันเหรอ? โอ้ เดี๋ยวก่อนนะ|ถ้าเจ้ามี มันคงน่าเกลียดน่าดู|
เป็นพระเจ้ามันก็ไม่ยากนักหรอก|ง่ายทีเดียวล่ะ รู้มั้ย|
มีคนเคยบอกว่าข้าหน้าตาดีทีเดียว|เจ้าคิดว่าไง?|
ยอมรับมาเถอะ มันคือความรัก||
เออ งานนี้มีอายุเกษียณมั้ย?|ข้าสงสัยจังว่าข้าควรทำอะไรดีตอนต้องเกษียณ|
เจ้ารู้มั้ย เวลาข้าโกรธนะ...|ทุกคนทรมานหมด|
อาหารแมว?|ก็ไม่ได้เกลียดนะ|
พระเจ้านี่เจ๋งดีเนอะ...|ถ้าจะให้ข้าพูดอะนะ|
ปาฏิหาริย์นั่น ตอนนี้มันกี่ครั้งแล้วนะ?||
เดี๋ยวก่อน... อันนั้นอีกแล้วเหรอ?||
เฮ้ย เอาจริงอะ?|เจ้าคง... ชอบมันมากจริงๆ เลยล่ะสิ|
ข้ารู้สึก... เป็นหนึ่งเดียวกับจักรวาล|โอ้? งั้นก็คงมีแต่ข้า|
แม้แต่พระเจ้าก็มีสิ่งที่ชอบและไม่ชอบ||
ความลับของพระเจ้าเหรอ?|อืม... นั่นแหละความลับ|
เวลาข้ามองเจ้า|ข้าจำสมัยอายุยังน้อยได้|
อืม เจ้าอยากเป็นคนดัง||
เงินคือทนายที่ดีที่สุด||
เครื่องแบบของพระเจ้าต้องเป็นการเปลือยแน่ๆ||
ข้าเจ๋งสุดๆ ไปเลยใช่ไหมล่ะ?||
ข้าอยากจะรักมากขึ้น แทนที่จะเป็นฝ่ายถูกรัก|ไม่ ข้าพูดจริงนะ|
ปริมาณอาหารแมว = ปริมาณศรัทธา||
