id,j,w,s,l,i,d,lr,type,j1,j2,j3,w1,w2,w3,s1,s2,s3,l,d,after,before,type,id,cate,ranking,labyrinth
10,1,0,0,0,0,0,0,3,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
11,0,1,0,0,0,0,0,3,-1,-1,-1,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
12,0,0,1,0,0,0,0,3,-1,-1,-1,-1,-1,-1,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
21,0,0,0,1,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1
38,0,0,0,1,0,0,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1
22,0,0,0,1,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,-1,-1,-1,-1
23,0,0,0,1,0,0,0,0,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1
20,0,0,0,1,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1
46,0,0,0,0,0,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1
47,0,0,0,0,0,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,-1
48,0,0,0,0,0,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,-1
24,1,0,0,0,0,0,0,1,1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
25,1,0,0,0,0,0,0,1,0,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
26,1,0,0,0,0,0,0,1,0,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
27,1,0,0,0,0,0,0,1,1,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
28,1,0,0,0,0,0,0,1,1,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
29,1,0,0,0,0,0,0,1,0,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
30,1,0,0,0,0,0,0,1,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
31,0,1,0,0,0,0,0,1,-1,-1,-1,1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
32,0,1,0,0,0,0,0,1,-1,-1,-1,0,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
33,0,1,0,0,0,0,0,1,-1,-1,-1,0,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
34,0,1,0,0,0,0,0,1,-1,-1,-1,1,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
35,0,1,0,0,0,0,0,1,-1,-1,-1,1,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
36,0,1,0,0,0,0,0,1,-1,-1,-1,0,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
37,0,1,0,0,0,0,0,1,-1,-1,-1,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
45,1,0,0,0,0,0,0,2,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
44,1,0,0,0,0,0,0,2,0,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
43,1,0,0,0,0,0,0,2,1,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
42,1,0,0,0,0,0,0,2,1,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
41,1,0,0,0,0,0,0,2,0,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
40,1,0,0,0,0,0,0,2,0,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
39,1,0,0,0,0,0,0,2,1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
6,1,0,0,0,0,0,0,0,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
5,1,0,0,0,0,0,0,0,1,1,0,-1,-1,-1,-1,-1,-1,-1,-1,300247,-1,-1,-1,-1,-1,-1
4,1,0,0,0,0,0,0,0,1,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,300247,-1,-1,-1,-1,-1
57,1,0,0,0,0,0,0,0,1,0,1,-1,-1,-1,-1,-1,-1,-1,-1,300247,-1,-1,-1,-1,-1,-1
9,1,0,0,0,0,0,0,0,0,1,1,-1,-1,-1,-1,-1,-1,-1,-1,300247,-1,-1,-1,-1,-1,-1
8,1,0,0,0,0,0,0,0,0,0,1,-1,-1,-1,-1,-1,-1,-1,-1,300247,-1,-1,-1,-1,-1,-1
3,1,0,0,0,0,0,0,0,1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,300147,300247,-1,-1,-1,-1,-1
7,1,0,0,0,0,0,0,0,0,1,0,-1,-1,-1,-1,-1,-1,-1,-1,300147,300247,-1,-1,-1,-1,-1
58,1,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,300147,-1,-1,-1,-1,-1,-1
85,0,1,0,0,0,0,0,2,-1,-1,-1,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
84,0,1,0,0,0,0,0,2,-1,-1,-1,0,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
83,0,1,0,0,0,0,0,2,-1,-1,-1,1,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
82,0,1,0,0,0,0,0,2,-1,-1,-1,1,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
81,0,1,0,0,0,0,0,2,-1,-1,-1,0,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
80,0,1,0,0,0,0,0,2,-1,-1,-1,0,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
79,0,1,0,0,0,0,0,2,-1,-1,-1,1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
19,0,1,0,0,0,0,0,0,-1,-1,-1,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
18,0,1,0,0,0,0,0,0,-1,-1,-1,1,1,0,-1,-1,-1,-1,-1,300547,-1,-1,-1,-1,-1,-1
17,0,1,0,0,0,0,0,0,-1,-1,-1,1,1,0,-1,-1,-1,-1,-1,-1,300547,-1,-1,-1,-1,-1
55,0,1,0,0,0,0,0,0,-1,-1,-1,1,0,1,-1,-1,-1,-1,-1,300547,-1,-1,-1,-1,-1,-1
54,0,1,0,0,0,0,0,0,-1,-1,-1,0,1,1,-1,-1,-1,-1,-1,300547,-1,-1,-1,-1,-1,-1
53,0,1,0,0,0,0,0,0,-1,-1,-1,0,0,1,-1,-1,-1,-1,-1,300547,-1,-1,-1,-1,-1,-1
16,0,1,0,0,0,0,0,0,-1,-1,-1,1,0,0,-1,-1,-1,-1,-1,300447,300547,-1,-1,-1,-1,-1
52,0,1,0,0,0,0,0,0,-1,-1,-1,0,1,0,-1,-1,-1,-1,-1,300447,300547,-1,-1,-1,-1,-1
14,0,1,0,0,0,0,0,0,-1,-1,-1,0,0,0,-1,-1,-1,-1,-1,300447,-1,-1,-1,-1,-1,-1
59,0,1,0,0,0,0,0,0,-1,-1,-1,1,0,0,-1,-1,-1,-1,-1,300347,300447,-1,-1,-1,-1,-1
15,0,1,0,0,0,0,0,0,-1,-1,-1,0,0,0,-1,-1,-1,-1,-1,300347,300447,-1,-1,-1,-1,-1
13,0,1,0,0,0,0,0,0,-1,-1,-1,0,0,0,-1,-1,-1,-1,-1,-1,300347,-1,-1,-1,-1,-1
61,0,1,0,0,0,0,0,0,-1,-1,-1,1,0,0,-1,-1,-1,-1,-1,300547,-1,-1,-1,-1,-1,-1
1,1,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,300047,300147,-1,-1,-1,-1,-1
2,1,0,0,0,0,0,0,0,1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,300047,300147,-1,-1,-1,-1,-1
56,1,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,300006,300047,-1,-1,-1,-1,-1
60,1,0,0,0,0,0,0,0,1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,300247,-1,-1,-1,-1,-1,-1
