0|Augmente le niveau de tes unités|pour les rendre plus puissants et|vaincre les méchants facilement !|＠|＠
0|Essaie les lieux précédents pour + d’XP !|Utilise l’XP pour améliorer tes Chats !|＠|＠|＠
0|Si tu n’arrives pas à gagner, pars à la|chasse au trésor ! Revisite des niveaux que|tu as déjà joués pour obtenir des ensembles de|trésors et débloquer de puissants bonus !|＠
1|Déploie plein d'unités pas chers pour|protéger tes attaquants à distance !|Sers-toi de ta tête pour mener tes|batailles et la victoire sera tienne !|＠
2|Quand ça tourne mal, tu peux toujours demander|un petit coup de patte au Dieu des Chats !|＠|＠|＠
3|Utilise des objets pour débloquer le|potentiel caché de ton armée de Chats !|Obtiens-les comme récompenses dans les|niveaux quotidiens et les niveaux légendaires.|＠
4|Les bonus activés par les trésors dans le|chapitre 1 fonctionnent encore au chapitre 2.|Si tu as des ennuis, déniche des|trésors et améliore tes unités !|＠
5|Un trésor modeste ne donne qu’un petit|bonus... Obtiens des trésors suprêmes pour|un bonus maximum ! Mets ton Charburant à|profit pour dénicher les meilleurs trésors !|＠
5|Les unités avec attaques de zone sont efficaces|face à plusieurs ennemis faibles.|Maîtrise l’utilisation des unités spéciales !|Surtout celles avec attaque de zone !|＠
6|Améliore les unités de base jusqu’à leur|forme ultime pour les rendre très puissantes.|Obtiens des tickets Chapsules et fais-leur|atteindre leur potentiel maximum !|＠
7|Les ennemis aliens sont très résistants.|En terminant les chapitres de L’empire des|Chats, tu obtiens de l’XP et des trésors|qui t’aideront à anéantir les envahisseurs !|＠
8|Les bonus activés par les trésors dans|L’empire des Chats fonctionnent encore|dans Vers le futur ! Trouve des trésors|suprêmes pour un effet maximum !|＠
9|Augmente ton rang joueur pour que tes unités|accèdent à de plus hauts niveaux.|Les rangs joueur les plus élevés te feront|découvrir le potentiel ultime de tes unités !|＠
10|Tout le monde connaît la défaite à un moment|de sa vie... Repars du bon pied en dénichant|des trésors ! Essaie les combos félins|pour rendre ton armée plus puissante !|＠
11|Touche la bulle du Chat depuis ta base|féline pour afficher d’autres conseils|et astuces utiles.|＠|＠
11|Les coups critiques sont très efficaces|contre les ennemis métal. Consulte|le Guide Chats pour voir quelles unités|sont douées pour les coups critiques.|＠
12|Pense à améliorer tes unités de base|autant que les plus rares !|Occupe-toi de toutes tes unités car elles sont|toutes utiles à un moment donné.|＠
13|Tu peux obtenir beaucoup d’expérience|dans les Histoires légendaires !|Reviens sur des niveaux déjà terminés pour|augmenter ton total d’XP.|＠
14|Le lien fort qui existe entre P’tite Madoka|et P’tite Homura pourrait changer ton destin !|＠|＠|＠
15|Chats du cosmos comprend des|ennemis encore plus bizarres !|Obtiens les nouveaux trésors et|repousse la menace cosmique !|＠
16|Des trésors étranges avec des effets|uniques t’attendent à travers l’espace...|Ramasse-les et à toi la victoire !|＠|＠
17|La capacité brise-barrière est très|efficace pour contrer les barrières|ennemies. Pense à te doter d'unités|ayant cette compétence !|＠
18|La capacité bloque-téléportation contre|facilement les attaques de téléportation.|N’oublie pas d’inclure des unités avec|cette compétence dans ton armée !|＠
19|La capacité bloque-téléportation contre|facilement les attaques de téléportation.|N’oublie pas d’inclure des unités avec|cette compétence dans ton armée !|＠
20|Une barrière ennemie bloque toute|attaque moins puissante qu’elle-même.|Si tu veux avoir ta chance,|prépare tes unités les plus puissantes !|＠
21|Une barrière ennemie bloque toute|attaque moins puissante qu’elle-même.|Si tu veux avoir ta chance,|prépare tes unités les plus puissantes !|＠
22|Les aliens étoilés sont super costauds !|Obtiens des trésors pour renforcer|tes pouvoirs anti-aliens étoilés.|＠|＠
23|Les barrières te mèneront la vie dure.|À moins de te préparer avec un|brise-barrière. Réfléchis avant d’attaquer !|＠|＠
24|Des trésors étranges avec des effets|uniques t’attendent à travers l’espace...|Ramasse-les et à toi la victoire !|＠|＠
25|Des trésors étranges avec des effets|uniques t’attendent à travers l’espace...|Ramasse-les et à toi la victoire !|＠|＠
26|Certains niveaux à durée limitée peuvent|être joués comme éléments de|la série Niveaux vichamine !|＠|＠
26|Rends tes Chats plus puissants avec de l’XP|puis crée une formation capable de contrer|les types d’ennemi de ce lieu !|＠|＠
26|En augmentant le niveau de tes Chats,|tu les rends plus forts au combat et capables|d’affronter les ennemis les plus puissants !|＠|＠
27|Certains niveaux à durée limitée peuvent|être joués comme éléments de|la série Niveaux vichamine !|＠|＠
27|Rends tes Chats plus puissants avec de l’XP|puis crée une formation capable de contrer|les types d’ennemi de ce lieu !|＠|＠
27|En augmentant le niveau de tes Chats,|tu les rends plus forts au combat et capables|d’affronter les ennemis les plus puissants !|＠|＠
28|Certains niveaux à durée limitée peuvent|être joués comme éléments de|la série Niveaux vichamine !|＠|＠
28|Rends tes Chats plus puissants avec de l’XP|puis crée une formation capable de contrer|les types d’ennemi de ce lieu !|＠|＠
28|En augmentant le niveau de tes Chats,|tu les rends plus forts au combat et capables|d’affronter les ennemis les plus puissants !|＠|＠
29|Certains niveaux à durée limitée peuvent|être joués comme éléments de|la série Niveaux vichamine !|＠|＠
29|Rends tes Chats plus puissants avec de l’XP|puis crée une formation capable de contrer|les types d’ennemi de ce lieu !|＠|＠
29|En augmentant le niveau de tes Chats,|tu les rends plus forts au combat et capables|d’affronter les ennemis les plus puissants !|＠|＠
30|Certains niveaux à durée limitée peuvent|être joués comme éléments de|la série Niveaux vichamine !|＠|＠
30|Rends tes Chats plus puissants avec de l’XP|puis crée une formation capable de contrer|les types d’ennemi de ce lieu !|＠|＠
30|En augmentant le niveau de tes Chats,|tu les rends plus forts au combat et capables|d’affronter les ennemis les plus puissants !|＠|＠
31|Certains niveaux à durée limitée peuvent|être joués comme éléments de|la série Niveaux vichamine !|＠|＠
31|Rends tes Chats plus puissants avec de l’XP|puis crée une formation capable de contrer|les types d’ennemi de ce lieu !|＠|＠
31|En augmentant le niveau de tes Chats,|tu les rends plus forts au combat et capables|d’affronter les ennemis les plus puissants !|＠|＠
32|Certains lieux Cyclone peuvent|être joués comme éléments de|la série Niveaux vichamine !|＠|＠
32|Gagne contre des ennemis à caractéristique|en choisissant des Chats spécialisés dans|ce type d’ennemi ! Tu deviendras vite un pro !|＠|＠
32|En augmentant le niveau de tes Chats,|tu les rends plus forts au combat et capables|d’affronter les ennemis les plus puissants !|＠|＠
33|Certains lieux Cyclone peuvent|être joués comme éléments de|la série Niveaux vichamine !|＠|＠
33|Gagne contre des ennemis à caractéristique|en choisissant des Chats spécialisés dans|ce type d’ennemi ! Tu deviendras vite un pro !|＠|＠
33|En augmentant le niveau de tes Chats,|tu les rends plus forts au combat et capables|d’affronter les ennemis les plus puissants !|＠|＠
34|Certains lieux Cyclone peuvent|être joués comme éléments de|la série Niveaux vichamine !|＠|＠
34|Gagne contre des ennemis à caractéristique|en choisissant des Chats spécialisés dans|ce type d’ennemi ! Tu deviendras vite un pro !|＠|＠
34|En augmentant le niveau de tes Chats,|tu les rends plus forts au combat et capables|d’affronter les ennemis les plus puissants !|＠|＠
35|Certains lieux Cyclone peuvent|être joués comme éléments de|la série Niveaux vichamine !|＠|＠
35|Gagne contre des ennemis à caractéristique|en choisissant des Chats spécialisés dans|ce type d’ennemi ! Tu deviendras vite un pro !|＠|＠
35|En augmentant le niveau de tes Chats,|tu les rends plus forts au combat et capables|d’affronter les ennemis les plus puissants !|＠|＠
36|Certains lieux Cyclone peuvent|être joués comme éléments de|la série Niveaux vichamine !|＠|＠
36|Gagne contre des ennemis à caractéristique|en choisissant des Chats spécialisés dans|ce type d’ennemi ! Tu deviendras vite un pro !|＠|＠
36|En augmentant le niveau de tes Chats,|tu les rends plus forts au combat et capables|d’affronter les ennemis les plus puissants !|＠|＠
37|Certains lieux Cyclone peuvent|être joués comme éléments de|la série Niveaux vichamine !|＠|＠
37|Gagne contre des ennemis à caractéristique|en choisissant des Chats spécialisés dans|ce type d’ennemi ! Tu deviendras vite un pro !|＠|＠
37|En augmentant le niveau de tes Chats,|tu les rends plus forts au combat et capables|d’affronter les ennemis les plus puissants !|＠|＠
38|Certains lieux mabouls peuvent|être joués comme éléments de|la série Niveaux vichamine !|＠|＠
38|Si tu n’arrives pas à terminer un niveau,|essaie de récupérer plus de|trésors pour booster tes unités !|＠|＠
38|En augmentant le niveau de tes Chats,|tu les rends plus forts au combat et capables|d’affronter les ennemis les plus puissants !|＠|＠
39|Certains lieux mabouls peuvent|être joués comme éléments de|la série Niveaux vichamine !|＠|＠
39|Si tu n’arrives pas à terminer un niveau,|essaie de récupérer plus de|trésors pour booster tes unités !|＠|＠
39|En augmentant le niveau de tes Chats,|tu les rends plus forts au combat et capables|d’affronter les ennemis les plus puissants !|＠|＠
40|Certains lieux mabouls peuvent|être joués comme éléments de|la série Niveaux vichamine !|＠|＠
40|Si tu n’arrives pas à terminer un niveau,|essaie de récupérer plus de|trésors pour booster tes unités !|＠|＠
40|En augmentant le niveau de tes Chats,|tu les rends plus forts au combat et capables|d’affronter les ennemis les plus puissants !|＠|＠
41|Certains lieux mabouls peuvent|être joués comme éléments de|la série Niveaux vichamine !|＠|＠
41|Si tu n’arrives pas à terminer un niveau,|essaie de récupérer plus de|trésors pour booster tes unités !|＠|＠
41|En augmentant le niveau de tes Chats,|tu les rends plus forts au combat et capables|d’affronter les ennemis les plus puissants !|＠|＠
42|Certains lieux mabouls peuvent|être joués comme éléments de|la série Niveaux vichamine !|＠|＠
42|Si tu n’arrives pas à terminer un niveau,|essaie de récupérer plus de|trésors pour booster tes unités !|＠|＠
42|En augmentant le niveau de tes Chats,|tu les rends plus forts au combat et capables|d’affronter les ennemis les plus puissants !|＠|＠
43|Certains lieux mabouls peuvent|être joués comme éléments de|la série Niveaux vichamine !|＠|＠
43|Si tu n’arrives pas à terminer un niveau,|essaie de récupérer plus de|trésors pour booster tes unités !|＠|＠
43|En augmentant le niveau de tes Chats,|tu les rends plus forts au combat et capables|d’affronter les ennemis les plus puissants !|＠|＠
44|Certains lieux mabouls peuvent|être joués comme éléments de|la série Niveaux vichamine !|＠|＠
44|Si tu n’arrives pas à terminer un niveau,|essaie de récupérer plus de|trésors pour booster tes unités !|＠|＠
44|En augmentant le niveau de tes Chats,|tu les rends plus forts au combat et capables|d’affronter les ennemis les plus puissants !|＠|＠
45|Certains lieux mabouls peuvent|être joués comme éléments de|la série Niveaux vichamine !|＠|＠
45|Si tu n’arrives pas à terminer un niveau,|essaie de récupérer plus de|trésors pour booster tes unités !|＠|＠
45|En augmentant le niveau de tes Chats,|tu les rends plus forts au combat et capables|d’affronter les ennemis les plus puissants !|＠|＠
46|Certains lieux mabouls peuvent|être joués comme éléments de|la série Niveaux vichamine !|＠|＠
46|Si tu n’arrives pas à terminer un niveau,|essaie de récupérer plus de|trésors pour booster tes unités !|＠|＠
46|En augmentant le niveau de tes Chats,|tu les rends plus forts au combat et capables|d’affronter les ennemis les plus puissants !|＠|＠
47|Les niveaux avec des Autels Akus placeront|un Sceau sur ton armée qui bloque les unités à|un niveau de puissance inférieur. Termine|des niveaux Akus pour libérer le Sceau !|＠
47|Les unités avec perforation de bouclier sont|efficaces pour détruire les boucliers des|ennemis Akus ! Consulte les capacités de tes|unités pour savoir quels héros ont cet effet.|＠
47|Même sans perforation de bouclier, infliger|une certaine quantité de dégâts à un bouclier|finira par le briser !|＠|＠
47|Si un ennemi avec un bouclier Aku brisé n’est|pas attaqué, son bouclier se réparera !|Détruis le bouclier Aku une autre fois pour|pouvoir à nouveau infliger des dégâts.|＠
48|Les niveaux avec des Autels Akus placeront|un Sceau sur ton armée qui bloque les unités|à un niveau de puissance inférieur. Termine|des niveaux Akus pour libérer le Sceau !|＠
48|Les unités avec perforation de bouclier|sont efficaces pour détruire les boucliers des|ennemis Akus ! Consulte les capacités de tes|unités pour savoir quels héros ont cet effet.|＠
