Rayons d’or (difficile)|Rayons d’or (expert)|Rayons d’or (maniaque)|＠
Illusion bleue (difficile)|Illusion bleue (expert)|Illusion bleue (maniaque)|＠
Passion rouge (difficile)|Passion rouge (expert)|Passions rouges (maniaque)|＠
Éclair violet (difficile)|Éclair violet (expert)|Éclair violet (maniaque)|＠
Vert de jalousie (difficile)|Vert de jalousie (expert)|Vert de jalousie (maniaque)|＠
Visage d’acier (mortel)|＠
Super hippo métal (expert)|＠
Amour et hippo métal (difficile)|＠
Le goût du succès (sans répit)|＠
Trempé dans la flamme (mortel)|＠
Palais raffiné (maniaque)|＠
Douceur XP (facile)|Douceur XP (normal)|Douceur XP (difficile)|Douceur XP (vétéran)|Douceur XP (expert)|Douce XP (maniaque)|＠
Pas de plan A (mortel)|＠
Au pays du carnage (mortel)|＠
Piège à miel (mortel)|＠
Défilé des morts (mortel)|＠
Grand Prix N-1 (mortel)|＠
Poseuse de bombe (mortel)|＠
Attaque sur Cyclone-R (expert)|＠
Attaque sur Cyclone-B (expert)|＠
Attaque sur Cyclone-W (expert)|＠
Maelstrom en approche (expert)|＠
Attaque sur Titanium (maniaque)|＠
Place au trou noir (maniaque)|＠
Sombres âmes (maniaque)|＠
Défense absolue (maniaque)|＠
La Fureur (maniaque)|＠
Dingo Festival (maniaque)|＠
Secoue-tête (maniaque)|＠
Flappy Cat (maniaque)|＠
Enfer poissonneux (maniaque)|＠
Mammifères ? (maniaque)|＠
Chats cinglés (maniaque)|＠
Planète poisson (sans répit)|＠
Au Japon|À Londres|À New York|＠
Orage en approche (maniaque)|＠
Tempête impie (maniaque)|＠
Antre de Charybde (sans répit)|＠
Colère des Enfers (mortel)|＠
Coule tel un ruisseau (sans répit)|＠
Fatal faucon (mortel)|＠
Vulcaniseur (mortel)|＠
Guerre injuste (mortel)|＠
Fête du muscle (mortel)|＠
Plein de lions (mortel)|＠
Bêtes des bois (mortel)|＠
Île de l’ogre (mortel)|＠
Draconien (mortel)|＠
Résident félin (mortel)|＠
Trou de ver ouvert (mortel)|＠
Tentation du diablotin|Tentation du démon|Tentation de l'archidiable|＠
Murmure des Akus (maniaque)|Murmure des Akus (mortel)|Chuchotis des Akus (mortel)|Chuchotis des Akus (sans répit)|＠
