100000|1
150000|1|โลกสงบสุขขึ้นมาอีกนิด
200000|1|พรุ่งนี้ เธอคงไม่ได้นอนตื่นสายจนมากไป
250000|1|ของที่เธอทำหายไปใต้โซฟา
300000|1|เธอมีความมุ่งมั่นอยู่ในดวงตา
350000|1|วิสัยทัศน์ของเธอจะดีขึ้นเล็กน้อย
400000|1|จู่ๆ เธอจะจำแคปซูลเวลาที่เคยฝังไว้ได้
500000|1|เธอตื่นเต้นมาก
750000|1|เธอจะได้คะแนน 99% ในการสอบครั้งต่อไป
800000|2|เธอรู้สึกว่าศาลเจ้ากำลังจะได้รับการอัปเกรด
825000|2|เธอคิดถึง XP ทั้งหมดที่เคยถวายให้...
850000|2|แต่ว่าทำไมพระเจ้าแมวต้องใช้ XP ด้วยนะ?
875000|2|เธอจำกลิ่นมะนาวสดได้
900000|2|เธอรู้สึกตื้นตันไปด้วยความรัก
950000|2|อนาคตชัดเจนขึ้นมาอีกนิด
1000000|2|เธอเริ่มถ่ายรูปขึ้น
1150000|2|เธอตื้นตันไปด้วยความสุข
1250000|2|โชคดีกำลังมาถึงในเร็ววัน
1400000|2|คุณได้รับความกล้าหาญที่จะสู้ต่อ!
1500000|3|ความพยายามของคุณจะไม่สูญเปล่าแน่!
1600000|3|คุณจะพยายามมากขึ้นกว่านี้อีกในปีหน้า!
1700000|3|แต่ความสุขที่แท้จริงคืออะไรกันนะ?
1800000|3|สัมผัสทางจิตของคุณอาจเฉียบแหลมขึ้นก็ได้นะ... บางที
1900000|3|ณ ที่ใดที่หนึ่ง มีเด็กเกิดใหม่ถือกำเนิดขึ้นในโลก
2500000|3|ณ ที่ใดที่หนึ่ง ก็มีฮีโร่ที่ได้เลเวลแรกมาแล้วเช่นกัน
3000000|3|คุณรําลึกถึงรักแรกของคุณได้
4000000|3|จำนวนผู้ติดตามของคุณจะเพิ่มขึ้นเล็กน้อย
5000000|3|จิตวิญญาณของคุณจะโตยิ่งขึ้นไปอีก...
7000000|3|คุณรู้สึกอยากโทรหาแม่...
9000000|4|จู่ๆ คุณก็รู้สึกอยากผจญภัยมากขึ้น
9000000|4|อาการปวดฟันนั้นจะหายไปเร็วๆ นี้
9000000|4|คุณแค่นึกถึงกลยุทธ์ต่อสู้ใหม่
9000000|4|คุณได้เดินก้าวแรกไปสู่การเติบโต
9000000|4|คุณรู้สึกเหมือนจะสามารถทะยานไปในท้องฟ้าได้
9000000|4|คนที่คุณกำลังรอจะมาถึงเร็วๆ นี้
9000000|4|คุณรู้สึกเหมือนว่าการสุ่มกาชาครั้งต่อไปจะโชคดี
9000000|4|อีกไม่นานคุณจะกระโดดเบิ้ลสองทีได้เก่ง
9000000|4|จู่ๆ คุณก็แต่งกลอนไฮกุชั้นครูขึ้นมาได้
9000000|4|เงินล้านดอลล่าร์รอคุณอยู่... สักวัน
9000000|5|โชคลาภของคุณกำลังขึ้น ขึ้น และขึ้น!
9000000|5|คุณเต็มไปด้วยความมุ่งมั่น
9000000|5|คุณถูกทำให้นึกถึงกลิ่นแห่งอดีต
9000000|5|รอยหยิกที่คอจะหายเร็วๆ นี้
9000000|5|กล้ามเนื้อที่ได้จากการไปฟิตเนสจะโชว์ให้เห็นเร็วๆ นี้
9000000|5|น้ำหอมใหม่อันนั้นกลิ่นเหมาะกับคุณมาก
9000000|5|เพื่อนบ้านของคุณจะได้รับพรด้วย
9000000|5|ความศรัทธาในแมวของคุณจะฟื้นกลับมาเร็วๆ นี้
9000000|5|แมวของคุณจะรักคุณยิ่งขึ้นไปอีก
9000000|5|ลุงคนโปรดของคุณจะได้รับการเลื่อนตำแหน่งในที่สุด
17060000|6|ตอนนี้ศาลเจ้าทนต่อแผ่นดินไหวได้มากขึ้นแล้ว
17120000|6|คุณหวังว่าพรุ่งนี้จะดีขึ้น
17180000|6|คุณค้นพบพริกหยวกที่อร่อยที่สุด
17240000|6|ที่นอนของคุณกลิ่นเหมือนวันใหม่ที่สดใส
17300000|6|คุณเริ่มเปราะบางมากขึ้น
17360000|6|คุณเจอไข่แดงสองฟองในไข่ของคุณ
17420000|6|ถูกรางวัลได้ไอติมฟรีอีกแท่ง
17480000|6|คุณได้ลูกอมจากหญิงชราที่คุณไม่รู้จัก
17540000|6|คุณได้พัฒนาฝีมือการดูแลรูปร่างหน้าตา
17600000|6|คุณคิดมุกตลกที่ขำสุดๆ ได้
17660000|7|เรี่ยรายเงินบูรณะวัด
17720000|7|ผ้าที่ตากไว้แห้งเร็ว
17780000|7|ยุงจะไม่กัดคุณ
17840000|7|คุณเห็นรุ้งหลังฝน
17900000|7|เพื่อนบ้านที่ปวดหลังหายปวดแล้ว
17960000|7|สักที่หนึ่งในโลกมีลูกแมวเกิดใหม่
18020000|7|ไฟฝันในวัยเด็กของคุณถูกปลุกขึ้นอีกครั้ง
18080000|7|เครื่องเคียงจานโปรดของคุณลดครึ่งราคาอยู่
18140000|7|มีคนเจอใบไม้สี่แฉกนำโชค
18200000|7|คุณนึกรหัสผ่านที่ลืมไปนานแล้วออก
-1|8|คุณได้บรรลุไปสู่อีกขั้นของความคิด
