現在施展奇蹟唷！|會咚的一聲唷！|
唉喲，|只要選擇你喜歡的就好了啦～|
啊，不用在意我說的話。|時間還有很多。|
還沒決定好嗎？|你呀，經常被別人說你優柔寡斷對吧？|
啊，不好意思，剛才瞇了一下。||
啊，不好意思，剛才沒在聽。||
神也會有|想變羅曼蒂克的時候。|
奇蹟決定於貓罐頭的數量。||
有時候，|會覺得受人委託很麻煩。|
現在？|在工作。|
嗯？|怎麼還是你啊。|
聽說男生的眼睛都長在背後|背後也會長眼睛嗎？太不可思議了。|
沒長翅膀嗎？|有翅膀的話就是妖怪了。|
神的工作，|算是輕鬆吧。|
常常被人說，|你長得其實也挺帥的。|
果然這就是愛吧！||
我們也會煩惱退休之後的生活呢。|咦？神也會退休嗎？|
感到煩躁的時候，|就會有點技癢想出手。|
貓罐頭？|不討厭啦！|
雖然自己說很那個…|但我覺得神其實很厲害耶。|
那個奇蹟是第幾次了？||
咦，還是這個奇蹟？||
真的？|你也喜歡對吧。|
有種和宇宙融為一體的感覺吧。|啊，只有我這麼覺得嗎？|
神也是好惡分明的。||
神的秘密？|呵呵，那是我的秘密唷。|
看到你，|就會想到我年輕的時候。|
你想成為受人歡迎的人吧。||
不花點錢有點困難哪！||
裸體就是神的制服吧。||
我很偉大對吧？||
與其被愛，我比較想要愛人。|真的。|
因為貓罐頭的數量＝虔誠度。||
