100000|1
150000|1|Die Welt ist etwas friedlicher geworden.
200000|1|Morgen wirst du nicht lange ausschlafen.
250000|1|Der Gegenstand, den du verloren hast, ist hinterm Sofa.
300000|1|In deinen Augen glänzt eiserne Entschlossenheit.
350000|1|Deine Sehstärke wird sich ganz leicht verbessern.
400000|1|Dir fällt ein: Du hattest eine Zeitkapsel vergraben.
500000|1|Dein Herz schlägt höher.
750000|1|Bei deiner nächsten Prüfung schaffst du 99 %.
800000|2|Du glaubst, dass der Schrein bald verbessert wird.
825000|2|Du denkst an all die XP, die du geopfert hast ...
850000|2|Wozu braucht der Katzengott überhaupt XP?
875000|2|Du erinnerst dich an den Duft frischer Zitronen.
900000|2|Du fühlst dich von Liebe überwältigt.
950000|2|Die Zukunft ist etwas klarer geworden.
1000000|2|Du bist geringfügig fotogener geworden.
1150000|2|Ein Gefühl der Freude überkommt dich.
1250000|2|Das Glück kommt in Kürze.
1400000|2|Du hast den Mut gewonnen, weiterzukämpfen!
1500000|3|Deine Mühen sind sicherlich nicht vergebens!
1600000|3|Nächstes Jahr gibst du dir mehr Mühe als je zuvor!
1700000|3|Was ist echtes Glück überhaupt?
1800000|3|Dein 6. Sinn hat sich verbessert ... vielleicht.
1900000|3|Irgendwo auf der Welt wurde gerade ein Kind geboren.
2500000|3|Irgendwo erlebt ein Held den ersten Stufenaufstieg.
3000000|3|Du erinnerst dich an deine erste große Liebe.
4000000|3|Die Zahl deiner Follower wird leicht steigen.
5000000|3|Dein Geist ist noch stärker gewachsen ...
7000000|3|Dir ist danach, Mutti anzurufen ...
9000000|4|Du fühlst dich plötzlich abenteuerlustiger.
9000000|4|Die Zahnschmerzen gehen bald weg.
9000000|4|Dir ist gerade eine neue Kampstrategie eingefallen.
9000000|4|Du tust den ersten Schritt zum Erwachsenwerden.
9000000|4|Du hast ein Gefühl, als könntest du fliegen.
9000000|4|Die Person, auf die du wartest, trifft bald ein.
9000000|4|Bei der nächsten Kapselziehung hast du sicher Glück.
9000000|4|Bald wirst du den Doppelsprung meistern.
9000000|4|Dir ist gerade ein perfekter Haiku eingefallen.
9000000|4|Du wirst sicher Millionär ... irgendwann.
9000000|5|Deine Chancen steigen, steigen, STEIGEN!
9000000|5|Du bist voller Tatendrang.
9000000|5|Du erinnerst dich an einen vergessenen Duft ...
9000000|5|Dein verrenkter Hals wird bald heilen.
9000000|5|Deine Besuche im Fitnessstudio zeigen bald Wirkung.
9000000|5|Dein neuer Duft passt perfekt zu dir.
9000000|5|Auch deine Nachbarn sind gesegnet.
9000000|5|Dein Vertrauen in die Katzheit bessert sich bald.
9000000|5|Deine Katzen lieben dich mehr und mehr.
9000000|5|Dein Lieblingsonkel wird endlich befördert werden.
17060000|6|Der Schrein ist jetzt erdbebensicherer.
17120000|6|Hoffentlich wird es morgen besser.
17180000|6|Du hast die köstlichste Paprika gefunden.
17240000|6|Deine Matratze riecht nach frischem, neuem Tag.
17300000|6|Du bist ein bisschen zerbrechlich geworden.
17360000|6|Du findest zwei Dotter in deinem Ei.
17420000|6|Du hast einen Eislolli gewonnen.
17480000|6|Du bekommst Bonbons von einer seltsamen alten Dame.
17540000|6|Du putzt dich ein wenig heraus.
17600000|6|Dir fällt ein echter Schenkelklopfer ein.
17660000|7|Hat Tempel-Reformspenden gesammelt.
17720000|7|Die Wäsche ist schnell getrocknet.
17780000|7|Mücken werden dich meiden.
17840000|7|Du siehst nach kurzem Regen einen Regenbogen.
17900000|7|Der Hexenschuss des Nachbarn ist geheilt.
17960000|7|Irgendwo wurde ein neues Kätzchen geboren.
18020000|7|Die Leidenschaft deiner Jugend entflammt erneut.
18080000|7|Deine Lieblingsbeilage kostet jetzt nur die Hälfte.
18140000|7|Jemand hat ein vierblättriges Kleeblatt gefunden.
18200000|7|Dir ist ein längst vergessenes Passwort eingefallen.
-1|8|Du hast einen neuen Geisteszustand erreicht.
