Terremoto|Regreso del Terror|Atardecer Triste|Humedal Melancólico|Parque de Rebotes|Sonrisa Amable|Guardián del Rancho|León Durmiente|＠||
Miaundalucía|Prado de Paella|Agujero Flamenco|Río de Sangría|Serranía de Gazpacho|Noche de Churros|Jardines de Mojama|Desierto de Tapas|＠||
Dunas de Condroitina|Ruinas de Sesamina|Cueva de Isoflavonas|Colina de Catequina|Ocaso de Licopeno|Oasis de Propóleo|Nevada de Péptidos|Montaña Hialurónica|＠||
Zambullida Prematura|Azul Océano Hondo|Cala de Sirenas|Laguna del Caos|Juegos de Piratas|Dilema del Pescador|Charcas de Algas|Mar Salada|＠||
Minerales Preciosos|Cavernas Torneadas|Túneles Tentadores|Gruta Blandita|Cumbres Borrascosas|Puente de Suspense|＠||||
Amanecer del Pistolero|Refugio de Vaqueros|Noche Forajida|Pueblo Yanqui|Viajero Errante|Guardia Decepcionado|Montaña de Vaqueros|Noche de Rodeo|＠||
Costa de Atún Rojo|Puerto Fresco|Océano Azul|Mares de Carpacho|Mar Económico|Atún Táctico|Frente de Atún Congelado|Filete de Cueva|＠||
Campo Espinoso|Costa de Bambú|Selva de Asesinos|Pantano Asqueroso|Cueva Húmeda|Calle de Polvo Estelar|Acantilado de Setas|Espíritu Limítrofe|＠||
Túnel Lácteo|Arma Oscura y Suave|Mural del Diablo|Sopla el Viento|Asesino Juvenil|Roca Disgustada|Cueva Inundada|Se Armó la Gorda|＠||
Peñón de Termas|Géiser Gentil|Magma Denso|Jaula de Fuego|Defensor Volcánico|Caldera Llameante|＠||||
Camino Potencial|Árbol Sombrío|Canción en el Viento|Carretera Filosofal|Campana Limítrofe|Río de Lágrimas|Camino Brillante|Cueva de Pruebas|＠||
Murmullo del Mar|Isla con Oleaje|La del Pulpo|Reposo de Poseidón|Playa Luz de Luna|Coral Coralino|Arca de la Luna|Sardinas Asesinas|＠||
Campo de Atún|Campo de Cangrejos|Cueva de Salmones|Cueva de Erizos de Mar|Bosque de Caviar|Bahía de Natto|Bosque de Fletán|Frontera de Gambas|＠||
Pasillo de Cartón|Sueño de Hierba Gatera|Pared Crujiente|Sortear el Arenero|Columna Crujiente|Gigante Reprobador|＠||||
Altar de Zeus|Espada de Aquiles|Sendero de Eros|Amanecer de Gaia|Puertas de Afrodita|Laberinto de Hades|＠||||
