升級畫面出現！|可以從主選單中|選擇前往！|可以參與戰鬥了。|＠|
隊伍編成功能登場！|在編隊畫面中選擇的角色|可以參與戰鬥。|＠||
寶物功能解放！|收集沈睡在各個地方的寶物|就能發動強力的特殊效果！|＠||
敵人圖鑑功能解放了！|可以閱覽目前為止已出現|敵人的詳細介紹。|＠||
「道具商店」功能解放了！|可於商店內購買|對過關有利的各種道具。|＠||
貓罐頭購買畫面出現|可以從主選單中|選擇前往！|＠||
可以在戰鬥中|發動神的力量了！|在陷入困境時找神幫忙吧！|＠||
貓咪圖鑑功能解放了！|可以閲覽已經取得的|貓咪的詳細介紹。|＠||
加碼多多探險隊功能解放了！|只要讓加碼多多出發去探險|就有機會獲得各式各樣的道具|＠||
「道具商店」追加了新商品！|現在可以買到在加碼多多探險隊|用得到的道具了|＠||
等級上限解放！|現在可以使用貓眼石|來解放角色的等級上限了|＠||
貓薄荷儲藏庫功能解放了！|可以用來存放進化角色必需的貓薄荷！|在貓咪基地畫面的儲藏庫裡就可以找到|＠||
現在可以使用錄影功能了！！|在遊戲標題畫面點選「選項」|自動錄影ON以後開始戰鬥時|則會自動錄影唷！戰鬥結束時則會自動停止。|＠|
現在可以前往觀看分享影片了！！|從標題畫面中的選項、貓咪基地|的選單中可以確認。|＠||
貓咪道場解放了！|快點挑戰貓咪道場|發揮你的本事吧！|＠||
