【毎朝出席チェック： 1日目】<br>「伝説のラブレター＋2」をゲットした！！	1日目
【毎朝出席チェック： 2日目】<br>「伝説のラブレター＋2」をゲットした！！	2日目
【毎朝出席チェック： 3日目】<br>「伝説のラブレター＋2」をゲットした！！	3日目
【毎朝出席チェック： 4日目】<br>「伝説のラブレター＋2」をゲットした！！	4日目
【毎朝出席チェック： 5日目】<br>「伝説のラブレター＋2」をゲットした！！	5日目
【毎朝出席チェック： 6日目】<br>「伝説のラブレター＋2」をゲットした！！	6日目
【毎朝出席チェック： 7日目】<br>「伝説のラブレター＋2」をゲットした！！	7日目
【毎朝出席チェック： 8日目】<br>「伝説のラブレター＋2」をゲットした！！	8日目
【毎朝出席チェック： 9日目】<br>「伝説のラブレター＋2」をゲットした！！	9日目
【毎朝出席チェック： 10日目】<br>「伝説のラブレター＋2」をゲットした！！	10日目
【毎朝出席チェック： 11日目】<br>「伝説のラブレター＋2」をゲットした！！	11日目
【毎朝出席チェック： 12日目】<br>「伝説のラブレター＋2」をゲットした！！	12日目
【毎朝出席チェック： 13日目】<br>「伝説のラブレター＋2」をゲットした！！	13日目
【毎朝出席チェック： 14日目】<br>「伝説のラブレター＋2」をゲットした！！	14日目
【毎朝出席チェック： 15日目】<br>「伝説のラブレター＋2」をゲットした！！	15日目
【毎朝出席チェック： 16日目】<br>「伝説のラブレター＋2」をゲットした！！	16日目
【毎朝出席チェック： 17日目】<br>「伝説のラブレター＋2」をゲットした！！	17日目
【毎朝出席チェック： 18日目】<br>「伝説のラブレター＋2」をゲットした！！	18日目
【毎朝出席チェック： 19日目】<br>「伝説のラブレター＋2」をゲットした！！	19日目
【毎朝出席チェック： 20日目】<br>「伝説のラブレター＋2」をゲットした！！	20日目
【毎朝出席チェック： 21日目】<br>「伝説のラブレター＋2」をゲットした！！	21日目
【毎朝出席チェック： 22日目】<br>「伝説のラブレター＋2」をゲットした！！	22日目
【毎朝出席チェック： 23日目】<br>「伝説のラブレター＋2」をゲットした！！	23日目
【毎朝出席チェック： 24日目】<br>「伝説のラブレター＋2」をゲットした！！	24日目
【毎朝出席チェック： 25日目】<br>「伝説のラブレター＋2」をゲットした！！	25日目
【毎朝出席チェック： 26日目】<br>「伝説のラブレター＋2」をゲットした！！	26日目
【毎朝出席チェック： 27日目】<br>「伝説のラブレター＋2」をゲットした！！	27日目
【毎朝出席チェック： 最終日】<br>「伝説のラブレター＋2」をゲットした！！	28日目
