100000|1
150000|1|The world has become a little more peaceful.
200000|1|Tomorrow, you won't sleep in too much.
250000|1|That thing you lost is behind the sofa.
300000|1|You have a look of fierce resolve in your eyes.
350000|1|Your vision will improve ever so slightly.
400000|1|You suddenly remember that time capsule you buried.
500000|1|Your heart skips a beat.
750000|1|You'll get 99% on your next exam.
800000|2|You feel like Shrine is about to get upgraded.
825000|2|You consider all the XP you've offered so far...
850000|2|Why does Cat God need XP, anyhow?
875000|2|You recall the scent of a fresh lemon.
900000|2|You feel overwhelmed by love.
950000|2|The future has become a little clearer.
1000000|2|You have become a bit more photogenic.
1150000|2|A sense of joy overwhelms you.
1250000|2|Good fortune is coming soon.
1400000|2|You have gained the courage to fight on!
1500000|3|Your efforts will surely not be wasted!
1600000|3|You'll try harder than ever next year!
1700000|3|What is real happiness, anyhow?
1800000|3|Your psychic senses have sharpened... maybe.
1900000|3|Somewhere, a newborn has just entered the world.
2500000|3|Somewhere, a hero has gained their first level.
3000000|3|You're remembering the face of your first love.
4000000|3|Your follower count will slightly increase.
5000000|3|Your spirit has grown even more...
7000000|3|You feel like giving Mom a call...
9000000|4|You're suddenly feeling more adventurous.
9000000|4|That toothache will go away soon.
9000000|4|You just thought of a new battle strategy.
9000000|4|You took the first step toward growing up.
9000000|4|You feel like you can soar through the skies.
9000000|4|The one you are waiting for will arrive soon.
9000000|4|You feel like your next Capsule draw will be lucky.
9000000|4|You will soon master the double-jump.
9000000|4|A masterful haiku just popped into your head.
9000000|4|A million dollars surely awaits you... someday.
9000000|5|Your fortunes are going up, up, UP!
9000000|5|You are filled with determination.
9000000|5|You're reminded of a nostalgic scent...
9000000|5|That pinch in your neck will heal soon.
9000000|5|Those gains from the gym will show soon.
9000000|5|That new cologne fits you perfectly.
9000000|5|Your neighbors will also be blessed.
9000000|5|Your faith in Catkind will be restored soon.
9000000|5|Your Cats are growing to love you even more.
9000000|5|Your favorite uncle will finally get that promotion.
17060000|6|The Shrine is more quake-resistant now.
17120000|6|You hope tomorrow will be better.
17180000|6|You find the tastiest bell pepper.
17240000|6|Your mattress smells like a fresh new day.
17300000|6|You've grown a bit fragile.
17360000|6|You find two yolks in your egg.
17420000|6|You won an ice pop.
17480000|6|You got candy from an old lady you don't know.
17540000|6|You polish up on your grooming.
17600000|6|You come up with a real kneeslapper.
17660000|7|Collected temple reformation funds.
17720000|7|The laundry has dried quickly.
17780000|7|Mosquitoes will avoid you.
17840000|7|You witness a rainbow after passing rain.
17900000|7|The neighbor's thrown-out back has healed.
17960000|7|Somewhere a new kitten has been born.
18020000|7|Passions of your youth are re-ignited.
18080000|7|Your favorite side dish is now half-off.
18140000|7|Someone has found a four-leaf clover.
18200000|7|You've recalled a long-forgotten password.
-1|8|You've achieved a new state of mind.
