Get more money|Tap the icon indicated by the arrow to|increase money production speed!|＠|Get more money|The capacity of the wallet also increases|and gives you a resource advantage!|＠||||||||
Produce cats|Now let's sortie some Cats!|Tap the icon below!|＠|Produce cats|Cat's attack the enemy base automatically|Save money first,|and keep producing Cats!|＠|||||||
Fire the Cat Cannon!|An icon appears when the Cat Cannon|is ready to fire. Lure the enemies|into firing range, and then FIRE!|＠|||||||||||
Change Units!|When you have more than 6 types of Cats|you can switch between them|by flicking like so.|＠|||||||||||
Do you believe in God?|Tap the above button for help!|You should believe in miracles!|＠||||||||||||
Use items efficiently!|These are the items currently in use!|Tap the icon to|toggle or enable/disable.|＠|||||||||||
Organizing Cats 101|Tap and drag a Cat icon|you want to use, and bring it|to the slot above to use it in battle|Organizing Cats 102|Tap and drag a Cat icon you want|to rearrange or drag the Cat out|to below to remove it|＠|||||||
How to use items|Tap an item icon you want to use!|Note:|Please select your Items before battle.|＠|||||||||||
Cat Food 101|Cat Food is a special kind of currency that can|be received from the Cat Food Shop or events|＠|Cat Food 102|Tap the +icon below to purchase Cat Food.|Note:|A reliable network connection is required.|＠|||||||
The First Advent! The Cat God Appears!|Normally you need Cat Food to get his help,|… but it's FREE this time!|So tap the icon!|＠|||||||||||
|||＠||||||||||||
|||＠||||||||||||
|||＠||||||||||||
|||＠||||||||||||
|||＠||||||||||||
|||＠||||||||||||
|||＠||||||||||||
|||＠|＠|＠|＠|＠|＠|＠|＠|
|||＠|＠|＠|＠|＠|＠|＠|＠|
|||＠|＠|＠|＠|＠|＠|＠|＠|
|||＠|＠|＠|＠|＠|＠|＠|＠|
|||＠|＠|＠|＠|＠|＠|＠|＠|
|||＠|＠|＠|＠|＠|＠|＠|＠|
|||＠|＠|＠|＠|＠|＠|＠|＠|
Unit Display|Visit Settings at the pause screen to|choose to display your Units in 2 rows.|＠|＠|＠|＠|＠|＠|＠|＠|
