textID|テキスト内容
1|Obtiene la habilidad de desgaste.<br>Sube su nivel para desgastar más tiempo a los enemigos.
2|Obtiene la habilidad de paralización.<br>Sube su nivel para paralizar más tiempo a los enemigos.
3|Obtiene la habilidad de ralentización.<br>Sube su nivel para ralentizar más tiempo a los enemigos.
4|Obtiene la habilidad de objetivo único.
5|Obtiene la habilidad de eficacia.
6|Obtiene la habilidad de superdureza.
7|Obtiene la habilidad de superfuerza.
8|Obtiene la habilidad de repulsión.<br>Sube su nivel para repeler a más enemigos.
9|Obtiene la habilidad de abducción.
10|Obtiene la habilidad de arrebato.<br>Sube su nivel para que sus arrebatos sean más potentes.
11|Obtiene la habilidad de supervivencia.<br>Sube su nivel para sobrevivir más.
12|Obtiene la habilidad de destruyebases.
13|Obtiene la habilidad de daño crítico.<br>Sube su nivel para lanzar más ataques críticos.
14|Obtiene la habilidad de matazombis.
15|Obtiene la habilidad de rompebarreras.<br>Sube su nivel para romper más barreras.
16|Obtiene la habilidad de conseguir dinero extra.
17|Obtiene la habilidad de oleada.<br>Sube su nivel para lanzar más oleadas.
18|Obtiene la habilidad de resistencia a desgaste.<br>Sube su nivel para incrementar esta resistencia.
19|Obtiene la habilidad de resistencia a paralización.<br>Sube su nivel para incrementar esta resistencia.
20|Obtiene la habilidad de resistencia a ralentización.<br>Sube su nivel para incrementar esta resistencia.
21|Obtiene la habilidad de resistencia a repulsión.<br>Sube su nivel para incrementar esta resistencia.
22|Obtiene la habilidad de resistencia a oleada.<br>Sube su nivel para incrementar esta resistencia.
23|Obtiene la habilidad de inmunidad a oleada.
24|Obtiene la habilidad de resistencia a abducción.<br>Sube su nivel para incrementar esta resistencia.
25|Obtiene la habilidad de inmunidad a maldición.
26|Obtiene la habilidad de resistencia a maldición.<br>Sube su nivel para incrementar esta resistencia.
27|Aumenta el poder defensivo de la unidad.<br>Sube su nivel para mejorar su defensa.
28|Aumenta el poder de ataque de la unidad.<br>Sube su nivel para mejorar su ataque.
29|Aumenta la velocidad de movimiento de la unidad.<br>Sube su nivel para mejorar su velocidad.
