Rayos Dorados (Difícil)|Rayos Dorados (Experto)|Rayos Dorados (Demencial)|＠
Sangre Azul (Difícil)|Sangre Azul (Experto)|Sangre Azul (Demencial)|＠
Rojo Pasión (Difícil)|Rojo Pasión (Experto)|Rojo Pasión (Demencial)|＠
A Ponerse Morados (Difícil)|A Ponerse Morados (Experto)|A Ponerse Morados (Demencial)|＠
Verde de Envidia (Difícil)|Verde de Envidia (Experto)|Verde de Envidia (Demencial)|＠
Rostro de Acero (Mortal)|＠
Hipo Supermetálico (Experto)|＠
Besos, Hipo Metálico (Difícil)|＠
Sabor del Triunfo (Inhumano)|＠
Forjado en Llamas (Mortal)|＠
Paladar Refinado (Demencial)|＠
Amor por la XP (Fácil)|Amor por la XP (Normal)|Amor por la XP (Difícil)|Amor por la XP (Veterano)|Amor por la XP (Experto)|Amor por la XP (Demencial)|＠
Sin Plan A (Mortal)	|＠
Reino de Matanza (Mortal)|＠
Trampa Sensual (Mortal)|＠
Desfile de Difuntos (Mortal)|＠
Grand Prix N1 (Mortal)|＠
Bombardera (Mortal)|＠
Ataque al Ciclón R (Experto)|＠
Ataque al Ciclón N (Experto)|＠
Ataque al Ciclón B (Experto)|＠
Vorágine Inminente (Experto)|＠
Ataque al Titanio (Demencial)|＠
Agujero Negro Creciente (Demencial)|＠
Posesión Infernal (Demencial)|＠
Defensa Absoluta (Demencial)|＠
Frenético (Demencial)|＠
Festival Gatilargo (Demencial)|＠
Cabeza Loca (Demencial)|＠
Aleteo Gatuno (Demencial)|＠
Locura de Peces (Demencial)|＠
¿Mamíferos? (Demencial)|＠
Gatos Locos (Demencial)|＠
Planeta Globo (Inhumano)|＠
en JAPÓN|en LONDRES|en NUEVA YORK|＠
Tormenta Inminente (Demencial)|＠
Tempestad Impía (Demencial)|＠
Boca de Caribdis (Inhumano)|＠
Ira del Infierno (Mortal)|＠
Fluye como el Río (Inhumano)|＠
Matón Punkarra (Mortal)|＠
Vulcanizador (Mortal)|＠
Guerra Injusta (Mortal)|＠
Fiesta de Fortachones (Mortal)|＠
Lío de Leones (Mortal)|＠
Bestias del Bosque (Mortal)|＠
Isla de Ogros (Mortal)|＠
Draconiano (Mortal)|＠
Felino del Mal (Mortal)|＠
Agujero de Gusano (Mortal)|＠
Tentación del Impío|Tentación del Demonio|Tentación del Archienemigo|＠
Murmullo de Aku (Demencial)|Murmullo de Aku (Mortal)|Susurro de Aku (Mortal)|Susurro de Aku (Inhumano)|＠
