ได้เงินมากขึ้น|แตะที่ไอคอนที่ลูกศรชี้|เพื่อเพิ่มความเร็วการผลิตเงิน!|＠|ได้เงินมากขึ้น|ความจุเป๋าตังค์ยังเพิ่มขึ้นด้วย|และให้คุณได้เปรียบเรื่องทรัพยากร!|＠||||||||
ผลิตแมว|เอาล่ะมาจัดระเบียบแมวกันเถอะ!|แตะที่ไอคอนด้านล่าง!|＠|ผลิตแมว|แมวโจมตีฐานทัพศัตรูอัตโนมัติ|เก็บเงินไว้ก่อน|และคอยผลิตแมวเรื่อยๆ!|＠|||||||
ยิงปืนใหญ่แมว!|จะมีไอคอนปรากฏขึ้นเมื่อปืนใหญ่แมว|พร้อมยิง ล่อศัตรู|เข้ามาในระยะยิง แล้วก็ยิง!|＠|||||||||||
เปลี่ยนยูนิต!|เมื่อคุณมีแมวมากกว่า 6 ประเภท|คุณสามารถสลับสับเปลี่ยนแมวได้|ด้วยการปัดแบบนี้|＠|||||||||||
คุณเชื่อในพระเจ้าไหม?|แตะที่ปุ่มด้านบนเพื่อขอความช่วยเหลือ!|คุณควรเชื่อในปาฏิหาริย์!|＠||||||||||||
ใช้ไอเทมให้มีประสิทธิภาพ!|นี่คือไอเทมที่กำลังใช้อยู่!|แตะที่ไอคอนเพื่อ|สลับ หรือเปิด/ปิดการใช้งาน|＠|||||||||||
การจัดทัพแมว 101|แตะและลากไอคอนแมว|ที่คุณต้องการใช้ และนำไปวาง|ที่ช่องด้านบนเพื่อใช้มันในการต่อสู้|การจัดทัพแมว 102|แตะและลากไอคอนแมวที่คุณต้องการ|เพื่อจัดเรียงใหม่หรือลากแมวกลับมา|ด้านล่างเพื่อย้ายมันออกมา|＠|||||||
วิธีใช้ไอเทม|แตะที่ไอคอนไอเทมคุณต้องการใช้!|หมายเหตุ:|โปรดเลือกไอเทมก่อนเข้าสู่การต่อสู้|＠|||||||||||
อาหารแมว 101|อาหารแมวเป็นสกุลเงินประเภทพิเศษที่|รับได้จากร้านอาหารแมวหรืออีเวนต์|＠|อาหารแมว 102|แตะที่ไอคอน + เพื่อซื้ออาหารแมว|หมายเหตุ:|ต้องใช้การเชื่อมต่อเครือข่ายที่เสถียร|＠|||||||
การมาถึงครั้งแรก! พระเจ้าแมวปรากฏขึ้น!|ปกติคุณต้องใช้อาหารแมว ถวายให้เขา|... แต่ครั้งนี้ฟรี!|งั้นก็แตะที่ไอคอนเลย!|＠|||||||||||
|||＠||||||||||||
|||＠||||||||||||
|||＠||||||||||||
|||＠||||||||||||
|||＠||||||||||||
|||＠||||||||||||
|||＠||||||||||||
|||＠|＠|＠|＠|＠|＠|＠|＠|
|||＠|＠|＠|＠|＠|＠|＠|＠|
|||＠|＠|＠|＠|＠|＠|＠|＠|
|||＠|＠|＠|＠|＠|＠|＠|＠|
|||＠|＠|＠|＠|＠|＠|＠|＠|
|||＠|＠|＠|＠|＠|＠|＠|＠|
|||＠|＠|＠|＠|＠|＠|＠|＠|
แสดงยูนิต|ไปที่การตั้งค่าที่หน้าจอหยุดพักเพื่อ|เลือกแสดงแสดงยูนิตเป็น 2 แถว|＠|＠|＠|＠|＠|＠|＠|＠|
