머니를 늘리자!|왼쪽 아래 버튼을 누르면|머니의 증가 스피드가 상승한다냥!|＠|머니를 늘리자!|머니의 최대치도 증가하니까|전투를 유리하게 진행시킬 수 있다냥!|＠||||||||
캐릭터 생산|자, 먼저 캐릭터를 생산하자냥!|아래의 아이콘을 탭 해보자냥!|＠|캐릭터 생산|생산된 캐릭터는 자동으로|적과 성을 공격해준다냥!|머니를 모아 계속해서 생산하자냥!|＠|||||||
냥코 대포 발사!|아래 버튼을 누르면 성에서 레이저 공격!|레이저는 성의 아이콘 위치까지 공격해준다냥!|사정거리 내에 적을 모아서 한꺼번에 물리치자냥!|＠|||||||||||
캐릭터를 바꾸자!|캐릭터가 6개 이상이 되면|뒷페이지에 캐릭터가 추가된다냥!|화살표처럼 상하로 움직여보자냥!|＠|||||||||||
신의 기적을 믿니?|위의 버튼을 누르면 신이 도와준다냥!|위험할 때는 신의 힘을 빌려보자냥!|＠||||||||||||
아이템을 자유자재로 사용하자!|지금 사용 중인 아이템은 이것!|아이콘을 누르면 전투 중이여도 사용을|ON·OFF 할 수 있는 것도 있다냥!|＠|||||||||||
캐릭터 편성①|화면 아래에서 출진시키고 싶은 캐릭터를|길게 눌러 그대로 화면 위의 |출진 슬롯으로 이동시키자냥!|캐릭터 편성②|출진 슬롯의 캐릭터를 길게 누르면|캐릭터의 순서를 바꾸거나 |화면 아래로 캐릭터를 뺄 수 있다냥!|＠|||||||
아이템 사용방법|아이템을 사용하고 싶을 때는|아래의 아이템 아이콘을 선택하자냥!|※전투개시 전에만 선택 가능|＠|||||||||||
고양이 통조림에 대해①|고양이 통조림은 결제를 통해|구입할 수 있는 특별 포인트다냥!|＠|고양이 통조림에 대해②|화면 아래의 +가 붙어 있는 아이콘을 탭하면|언제든지 고양이 통조림을 구입할 수 있다냥!|※구입 시에는 네트워크 접속이 필요합니다|＠|||||||
첫 강림! 신 캠페인|신의 힘을 쓰려면 통조림이 필요하지만 이번|한 번만 무료로 신의 힘을 체험하게 해주겠다냥!|화살표가 가리키는 아이콘을 탭 해보자냥!|＠|||||||||||
|||＠||||||||||||
|||＠||||||||||||
|||＠||||||||||||
|||＠||||||||||||
|||＠||||||||||||
|||＠||||||||||||
|||＠||||||||||||
|||＠|＠|＠|＠|＠|＠|＠|＠|
|||＠|＠|＠|＠|＠|＠|＠|＠|
|||＠|＠|＠|＠|＠|＠|＠|＠|
|||＠|＠|＠|＠|＠|＠|＠|＠|
|||＠|＠|＠|＠|＠|＠|＠|＠|
|||＠|＠|＠|＠|＠|＠|＠|＠|
|||＠|＠|＠|＠|＠|＠|＠|＠|
유닛 표시에 대해|일시정지 화면의 옵션에서 설정을 변경하면|유닛을 2줄로 표시할 수 있다냥!|＠|＠|＠|＠|＠|＠|＠|＠|
