100000|1
150000|1|Le monde est devenu un peu plus paisible.
200000|1|Demain, tu ne feras pas la grasse matinée.
250000|1|Ce truc que tu as perdu est derrière le canapé.
300000|1|On lit une grande volonté dans ton regard.
350000|1|Ta vision va s’améliorer un tout petit peu.
400000|1|Tu te souviens d’avoir caché une capsule temporelle.
500000|1|Ton cœur bat un coup sur deux.
750000|1|Tu auras 19,5/20 à ta prochaine interro.
800000|2|Tu sens que le sanctuaire va être amélioré.
825000|2|Tu repenses à tout l’XP dont tu as déjà fait don...
850000|2|Au fait, pourquoi le Dieu des Chats a besoin d’XP ?
875000|2|Tu repenses à l’odeur d’un citron fraîchement coupé.
900000|2|Tu te sens déborder d’amour.
950000|2|Tu entrevois mieux l’avenir maintenant.
1000000|2|Tu deviens un peu plus photogénique.
1150000|2|Une sensation de joie t’envahit.
1250000|2|La bonne fortune est pour bientôt.
1400000|2|Tu as trouvé le courage de te battre !
1500000|3|Tes efforts vont servir à quelque chose !
1600000|3|L’an prochain, tu feras encore mieux.
1700000|3|Au fait, qu’est-ce que le bonheur ?
1800000|3|Ta perception psychique s’est améliorée. Peut-être.
1900000|3|Quelque part, un enfant vient de naître.
2500000|3|Quelque part, un héros a atteint son premier niveau.
3000000|3|Tu te souviens du visage de ton premier amour.
4000000|3|Tu as un peu plus de followers aujourd’hui.
5000000|3|Ton esprit s’est éveillé encore un peu plus...
7000000|3|Tu aurais bien envie d’appeler ta mère...
9000000|4|Tu te sens d’attaque pour partir à l’aventure.
9000000|4|Ce mal aux dents ne durera pas longtemps.
9000000|4|Tu as trouvé une nouvelle stratégie de bataille.
9000000|4|Tu as fait un premier pas vers la maturité.
9000000|4|Tu pourrais t’envoler dans les cieux.
9000000|4|La personne que tu attends va bientôt arriver.
9000000|4|Tu sens que ta prochaine Chapsule sera chanceuse.
9000000|4|Bientôt, tu maîtriseras le double saut.
9000000|4|Tu viens de penser à un haïku magistral.
9000000|4|Un million d’euros t’attend. Quelque part.
9000000|5|La chance va te sourire, sourire, sourire !
9000000|5|Tu te sens d’humeur déterminée aujourd’hui.
9000000|5|Un parfum de nostalgie flotte dans l’air...
9000000|5|Ce petit bobo sera vite guéri.
9000000|5|Ton travail de muscu va porter ses fruits.
9000000|5|Ce nouveau parfum te va à merveille.
9000000|5|Tes voisins vont passer une excellente journée.
9000000|5|Ta foi dans les Chats reviendra bientôt.
9000000|5|Tes Chats t’aiment chaque jour un peu plus.
9000000|5|Ton oncle préféré va enfin avoir sa promotion.
17060000|6|Le sanctuaire résiste mieux aux tremblements.
17120000|6|Tu espères que ça ira mieux demain.
17180000|6|Tu trouves un poivron dé-li-cieux.
17240000|6|Ta couette sent le soleil.
17300000|6|Ton corps te semble un peu fragile.
17360000|6|Tu trouves deux jaunes dans ton œuf.
17420000|6|Tu as gagné une glace à l'eau.
17480000|6|Une vieille dame inconnue t'offre des bonbons.
17540000|6|Tu te nettoies un brin la fourrure.
17600000|6|Tu racontes la meilleure blague du monde.
17660000|7|Fonds de rénovation du temple collectés.
17720000|7|Le linge a vite séché.
17780000|7|Les moustiques t’évitent.
17840000|7|Tu aperçois un arc-en-ciel après la pluie.
17900000|7|Le voisin n’a plus de problèmes de dos.
17960000|7|Quelque part, un chaton naît.
18020000|7|Tu retrouves tes passions d’enfance.
18080000|7|Ta garniture préférée est en promo.
18140000|7|Quelqu’un a trouvé un trèfle à quatre feuilles.
18200000|7|Tu t’es rappelé un mot de passe oublié.
-1|8|Tu as atteint un nouvel état d’esprit.
