Più attacco %@: %@	Danni a %@ aumentati.
Aumento difesa %@: %@	Danni da %@ diminuiti.
Effetto Efficace + %@: %@	Effetto Efficace migliorerà vs %@
Danni enormi + %@: %@	I danni miglioreranno vs %@
Effetto Forte + %@: %@	Resistenza agli attacchi di %@ migliorerà.
Mini valanga della morte %@	Scatena mini valanga alla sconfitta.<br>Disponibile dopo 2 schieramenti (non cumulabile)
Resistente a danni da ondate %@	Riduce i danni dalle ondate nemiche.
Rimborso %@	Recupera parte del costo di schieram. di un Gatto caduto.<br>Disponibile dopo 2 schieramenti
Resistente a respinta %@	Riduce la respinta degli attacchi nemici.
Potenzia Saghe leggendarie %@	Più salute e potenza d'att. nelle<br>Saghe leggendarie (non cumulabile)
Ammazzagiganti %@	Ammazzagiganti disponibile dopo ogni<br>2 schieramenti (non cumulabile)
