แสตมป์ล็อกอิน 1!<br>คุณได้ตั๋วแมว 1 ใบ	วันที่ 1
แสตมป์ล็อกอิน 2!<br>คุณได้ +5,000 XP!	วันที่ 2
แสตมป์ล็อกอิน 3!<br>คุณได้ตั๋วแรร์ 1 ใบ!	วันที่ 3
แสตมป์ล็อกอิน 4!<br>คุณได้เร่งความเร็ว 1 หน่วย!	วันที่ 4
แสตมป์ล็อกอิน 5!<br>คุณได้ตั๋วแมว 1 ใบ	วันที่ 5
แสตมป์ล็อกอิน 6!<br>คุณได้แมวเศรษฐี 1 ตัว!	วันที่ 6
แสตมป์ล็อกอิน 7!<br>คุณได้ตั๋วแมว 1 ใบ	วันที่ 7
แสตมป์ล็อกอิน 8!<br>คุณได้ตั๋วแรร์ 1 ใบ!	วันที่ 8
แสตมป์ล็อกอิน 9!<br>คุณได้ตั๋วแมว 1 ใบ	วันที่ 9
แสตมป์ล็อกอิน 10!<br>คุณได้ซีพียูแมว 1 เครื่อง!	วันที่10
แสตมป์ล็อกอิน 11!<br>คุณได้ตั๋วแรร์ 1 ใบ!	วันที่11
แสตมป์ล็อกอิน 12!<br>คุณได้เรดาร์สมบัติ 1 หน่วย!	วันที่12
แสตมป์ล็อกอิน 13!<br>คุณได้ตั๋วแมว 1 ใบ	วันที่13
แสตมป์ล็อกอิน 14!<br>คุณได้ตั๋วแรร์ 1 ใบ!	วันที่14
