เร่งความเร็ว|ความเร็วการต่อสู้จะเพิ่มขึ้นสองเท่า|นายทหารบัตรทองรับความเร็วในการต่อสู้เพิ่ม 3x!|แตะไอคอนระหว่างต่อสู้เพื่อสลับเปิดและปิด|＠|
เรดาร์สมบัติ|โอกาสดรอปรางวัล 100% เมื่อคว้าชัยได้|การันตีรับสมบัติระดับดีเลิศ|หรือยูนิตแมว หรือรางวัลดร็อปด่าน XP/ผลไม้เหมียว|＠|
แมวเศรษฐี|แมวกรรมกรของคุณจะเริ่มการต่อสู้ที่เลเวลสูงสุด|ชิงความได้เปรียบในการต่อสู้ โดยไม่ต้องใช้เงิน|อัปเกรดแมวกรรมกร!||
ซีพียูแมว|AI ของซีพียูแมวจะทำการต่อสู้อัตโนมัติให้คุณ|แต่มันก็เป็นแค่เทคโนโลยีแมวๆ อย่าคาดหวังมาก|(แตะไอคอนสลับเปิดและปิด)||
งานแมว|รับ XP เพิ่มขึ้น 1.5 เท่า|มากกว่าที่ได้รับตอนเคลียร์ด่านธรรมดา|ใช้กับด่านที่มีรางวัล XP สูงถึงจะคุ้ม!||
แมวซุ่มยิง|คอยยิงคุ้มกันเพื่อดันศัตรูให้ล่าถอย|พลังโจมตีผกผันไปตามพลังชีวิตฐานทัพแมวของคุณ|(แตะไอคอนระหว่างต่อสู้เพื่อสลับเปิดและปิด)|＠|
XP|ซื้อ XP เพื่อพาวเวอร์อัปยูนิตแมวของคุณ!|＠|＠||
NP|＠||||
หุ่นจำลอง|＠||||
หุ่นจำลอง|＠||||
5000 XP|＠||||
10000 XP|＠||||
30000 XP|＠||||
50000 XP|＠||||
100000 XP|＠||||
200000 XP|＠||||
500000 XP|＠||||
1000000 XP|＠||||
2000000 XP|＠||||
XP 500000|＠||||
ตั๋วแมว|＠||||
ตั๋วแรร์|＠||||
อาหารแมว|นำไปใช้ซื้อไอเทม XP และสินค้าอื่นๆ|＠|||
ตั๋วนำโชค|＠||||
|＠||||
|＠||||
ตั๋วนำโชค|＠||||
ตั๋วนำโชค|＠||||
ตั๋วนำโชค|＠||||
ตั๋วแพลตินัม|＠||||
เมล็ดผลไม้เหมียวม่วง|เมล็ดผลไม้ลึกลับที่ช่วยให้|แมวบางตัวแสดงศักยภาพที่แท้จริงออกมาได้|＠||
เมล็ดผลไม้เหมียวแดง|เมล็ดผลไม้ลึกลับที่ช่วยให้|แมวบางตัวแสดงศักยภาพที่แท้จริงออกมาได้|＠||
เมล็ดผลไม้เหมียวฟ้า|เมล็ดผลไม้ลึกลับที่ช่วยให้|แมวบางตัวแสดงศักยภาพที่แท้จริงออกมาได้|＠||
เมล็ดผลไม้เหมียวเขียว|เมล็ดผลไม้ลึกลับที่ช่วยให้|แมวบางตัวแสดงศักยภาพที่แท้จริงออกมาได้|＠||
เมล็ดผลไม้เหมียวเหลือง|เมล็ดผลไม้ลึกลับที่ช่วยให้|แมวบางตัวแสดงศักยภาพที่แท้จริงออกมาได้|＠||
ผลไม้เหมียวม่วง|ผลไม้ลึกลับที่ช่วยให้|แมวบางตัวแสดงศักยภาพที่แท้จริงออกมาได้|＠||
ผลไม้เหมียวแดง|ผลไม้ลึกลับที่ช่วยให้|แมวบางตัวแสดงศักยภาพที่แท้จริงออกมาได้|＠||
ผลไม้เหมียวฟ้า|ผลไม้ลึกลับที่ช่วยให้|แมวบางตัวแสดงศักยภาพที่แท้จริงออกมาได้|＠||
ผลไม้เหมียวเขียว|ผลไม้ลึกลับที่ช่วยให้|แมวบางตัวแสดงศักยภาพที่แท้จริงออกมาได้|＠||
ผลไม้เหมียวเหลือง|ผลไม้ลึกลับที่ช่วยให้|แมวบางตัวแสดงศักยภาพที่แท้จริงออกมาได้|＠||
ผลไม้เหมียวเอปิก|ผลไม้ลึกลับที่ช่วยให้|แมวบางตัวแสดงศักยภาพที่แท้จริงออกมาได้|＠||
เมล็ดผลไม้เหมียวอาวุโส|เมล็ดผลไม้ลึกลับที่ช่วยให้|แมวบางตัวแสดงศักยภาพที่แท้จริงออกมาได้|＠||
ผลไม้เหมียวอาวุโส|ผลไม้ลึกลับที่ช่วยให้|แมวบางตัวแสดงศักยภาพที่แท้จริงออกมาได้|＠||
เมล็ดผลไม้เหมียวเอปิก|เมล็ดผลไม้ลึกลับที่ช่วยให้|แมวบางตัวแสดงศักยภาพที่แท้จริงออกมาได้|＠||
ผลไม้เหมียวทอง|ผลไม้ลึกลับที่ช่วยให้|แมวบางตัวแสดงศักยภาพที่แท้จริงออกมาได้|＠|
ตั๋วนำโชค|＠||||
ตั๋วนำโชค|＠||||
ตั๋วนำโชค|＠||||
ตั๋วนำโชค|＠||||
ตั๋วนำโชค|＠||||
ตาแมว [พิเศษ]|เพิ่มเพดานเลเวลให้กับแมวพิเศษหนึ่งตัว|※ใช้ได้กับยูนิตแมวเลเวล 30|＠||
