15,-1,-1,-1,-1,    //マップ番号 0～16,　アイテム報酬型ステージ設定(-1:OFF),　スコア報酬型ステージ設定(-1:OFF)
0,					//マップパターン 0～3
15,450,3,75,31,100,10250,1,-1,		//1ステージ
15,450,3,90,30,30,10251,1,-1,	//2ステージ
30,900,30,80,31,10,10252,1,-1,	//3ステージ
35,1050,3,99,33,5,10253,1,-1,	//4ステージ
35,1050,31,100,31,4,10254,1,-1,	//5ステージ
40,1200,3,99,30,3,10255,1,-1,	//6ステージ
50,1500,32,100,32,2,10256,1,-1,	//7ステージ
55,1650,30,75,31,1,10257,1,-1,	//8ステージ


//城とドラゴン（2MAP目、キャラ進化用）
//消費統率力			0
//クリア時の獲得XP		1
//サウンド（スタート時）	2
//サウンド ボス出現時の城体力％	3
//サウンド（ボス）		4
//アイテム入手確率		0～100%
//アイテム番号	0:スピードアップ	1:トレジャーレーダー	2:ネコボン	3:ニャンピュータ	4：おかめはちもく	5:スニャイパー	6:XP	11:にゃんこチケット	12：レアチケット
//貰える数		0
