★ Alzamiento de imperios ★	Reúne los tesoros sup. en Imperio de los Gatos cap. 1.
★ Alzamiento de imperios 2 ★	Reúne los tesoros sup. en Imperio de los Gatos cap. 2.
★ Alzamiento de imperios 3 ★	Reúne los tesoros sup. en Imperio de los Gatos cap. 3.
★ Remuertos ★	Supera las fases zombis en Imperio de los Gatos cap. 1.
★ Requetemuertos ★	Supera las fases zombis en Imperio de los Gatos cap. 2.
★ Requetemuertísimos ★	Supera las fases zombis en Imperio de los Gatos cap. 3.
★ El futuro es nuestro ★	Reúne los tesoros superiores en Hacia el Futuro cap. 1.
★ El futuro es nuestro 2 ★	Reúne los tesoros superiores en Hacia el Futuro cap. 2.
★ El futuro es nuestro 3 ★	Reúne los tesoros superiores en Hacia el Futuro cap. 3.
★ ¡Y nada de resucitar! ★	Supera las fases zombis en Hacia el Futuro (cap. 1).
★ ¡Y nada de resucitar! 2 ★	Supera las fases zombis en Hacia el Futuro (cap. 2).
★ La conquista del espacio ★	Reúne los tesoros superiores en Gatos Galácticos cap. 1.
★ La conquista del espacio 2 ★	Reúne los tesoros superiores en Gatos Galácticos cap. 2.
★ La conquista del espacio 3 ★	Reúne los tesoros superiores en Gatos Galácticos cap. 3.
★ No quedan mundos que conquistar ★	Vence a Filiembustero Espacial.
★ Soy leyenda ★	Supera el nivel 1<br>de todas las fases legendarias.
★ Soy leyenda 2 ★	Supera el nivel 2<br>de todas las fases legendarias.
★ Soy leyenda 3 ★	Supera el nivel 3<br>de todas las fases legendarias.
★ Números rojos ★	Supera Catástrofe Carmesí.
★ Magia negra ★	Supera Paraíso de Oscuridad.
★ Blanco y en botella ★	Supera Inigualable.
★ ¡Por todos los cielos! ★	Supera Ira de los Cielos.
★ Telón de acero ★	Supera Dulce Ironía.
★ Nublado con probabilidad de álienes ★	Supera Dimensión Desesperada.
★ Amenaza perfecta ★	Supera Cielo Rojo Matutino.
★ Apocalipsis Z ★	Supera Muertos Rodantes.
★ Falla dimensional ★	Supera La Segunda Dimensión.
★ La tormenta perfecta ★	Supera Tifón Nemo.
★ Crueldad angelical ★	Supera Ascendente Clionel.
★ La barca de Caronte ★	Supera Río Estigia.
★ Descoronada ★	Supera Coronación de Reina.
★ De la A a la Z ★	Supera Difunto Debutante
★ Usurpador ★	Supera Venganza del Rey Guau.
★ ¡Despierta! ★	Supera Sueño Profundo.
★ Como caído del cielo ★	Supera Impacto Azul.
★ ¡Que estoy muy loco! ★	Supera todas las fases de gatos dementes.
★ Todos tenemos nuestras manías ★	Supera todas las fases de gatos maníacos.
★ De tu propio tamaño ★	Supera todas las fases de minis.
★ Un año más ★	Supera ¿Feliz Año Nuevo?
★ Percal ritual ★	Supera Felicidad Ritual.
★ Asuntos sospechosos ★	Supera Osos Temerosos.
★ Amor de juventud ★	Supera Profe, Es Primavera.
★ El fin de la ambición ★	Supera Amor Enfermizo.
★ ¿Recién... casados? ★	Supera La Novia Prohibida.
★ Vacaciones en el mar ★	Supera Verano ni de Miau.
★ ¿A quién vas a llamar? ★	Supera Huéspedes Fantasmales.
★ Respeto por los mayores ★	Supera Yayos en el Pueblo.
★ Sudar la camiseta ★	Supera Otoño = Día Deportivo.
★ ¡Huelga! ★	Supera Amado Trabajo.
★ Miaulagro de Navidad ★	Supera La Miaurimorena.
★ Piso 30 ★	Supera el piso 30 de la Torre Celestial.
★ Piso 40 ★	Supera el piso 40 de la Torre Celestial.
★ Hasta el final ★	Completa el último nivel del Reto Legendario.
★ Hasta el último céntimo ★	Gana un total de 1 000 000 ￠.
★ Hasta el último céntimo 2 ★	Gana un total de 5 000 000 ￠.
★ Nuevos ricos ★	Gana un total de 10 000 000 ￠.
★ Nuevos ricos 2 ★	Gana un total de 50 000 000 ￠.
★ Tío Gilito ★	Gana un total de 100 000 000 ￠.
★ Tío Gilito 2 ★	Gana un total de 200 000 000 ￠.
★ De mochilero ★	Envía a Gamatoto a explorar durante más de 1000 horas.
★ Innovando, que es gerundio ★	Completa 5 armas de la base gatuna.
★ Clasificación ★	Alcanza el rango total 1000.
★ ¿En qué puedo ayudarle? ★	Recluta a un ayudante de Gamatoto de alto nivel.
★ Hijo del bosque ★	Desbloquea a Lobo Ururun.
★ Mininémesis ★	Desbloquea a Mininyandam.
★ Bajo la capucha ★	Desbloquea a Mina Caperucita.
★ Redención de ronin ★	Desbloquea a Miyamoku Musashi.
★ Puños de acero ★	Desbloquea a Bun Bun Mecánico.
★ Corazón de barro ★	Desbloquea a Chuchomaru.
★ ¡Qué tormento! ★	Supera Tribunal de Tormento.
★ Dinastía ancestral ★	Supera Vieja Reina.
★ Vox Dei ★	Supera Paraíso de Papuu.
★ Asuntos cenagosos ★	Supera Fondo del Pantano.
★ Clan Ursus ★	Desbloquea a Urs y Fenrir.
★ Familia de locos ★	Supera Clan de los Maníacos.
★ Ladrido cósmico ★	Supera Gloria de Guauguau.
★ ¡Y nada de resucitar! 3 ★	Supera las fases zombis en Hacia el Futuro (cap. 3).
★ Ángel de la No Muerte ★	Supera Clionel Zombi Ataca.
★ Una ayudita ★	Supera Primer Recado.
★ Piso 50 ★	Supera el piso 50 de la Torre Celestial.
★ Rito Primaveral ★	Supera Guerra Total: Especial de Primavera.
★ Cantar Estival ★	Supera Guerra Total: Especial de Verano.
★ Festín Otoñal ★	Supera Guerra Total: Especial de Otoño.
★ Danza Invernal ★	Supera Guerra Total: Especial de Invierno.
★ Todo el Año ★	Supera todos los mapas de Guerra Total.
★ Soy leyenda 4 ★	Supera el nivel 4<br>de todas las fases legendarias.
★ Aniquilación arcaica ★	Vence a Idi:Re y supera la fase.
★ Camino a la Ruina ★	Supera Preludio de Ruina.
★ Adelante con Doron ★	Desbloquea a Máscara Doron Viejuna.
★ Tormenta Malvada ★	Supera El Gran Diablo.
★ Mundo de oscuridad ★	Supera todas las fases de Los reinos de akus.
★ Composición seductora ★	Supera Sinfonía de Tentaciones.
★ Cierre de puertas ★	Supera Rashomon.
★ Infierno 30 ★	Supera el piso 30 de la Torre Infernal.
★ Estrellas Muertas ★	Supera las fases zombis en Gatos Galácticos cap. 1.
★ Naala Que Hacer ★	Desbloquea a Bestia Naala Viejuna.
★ Barón derrotado ★	Supera Barón Foca Ataca.
★ L. Fante Letal acabado ★	Supera Ataque de L. Fante Letal.
★ Megamasacre ★	Supera Megaamenaza.
★ Hipo Alien histérico ★	Supera Horrorpótamo.
★ Gran Ping Pong Z. dolorido ★	Supera Gran Ping Pong Z. Ataca.
★ Exiel Arcángel exterminado ★	Supera Sr. Ángel Divino Ataca.
★ Infierno 40 ★	Supera el piso 40 de la Torre Infernal.
★ Soy Leyenda Inquietante 1 ★	Supera el nivel 1<br>de las fases de Leyenda Inquietante.
★ Lord Luza ★	Desbloquea Lord Luza Simio
