แมวเศรษฐี (ง่าย)|แมวเศรษฐี (ปกติ)|แมวเศรษฐี (ยาก)|＠|||||||
แมวเร็ว (ง่าย)|แมวเร็ว (ปกติ)|แมวเร็ว (ยาก)|＠|||||||
งานแมว (ง่าย)|งานแมว (ปกติ)|งานแมว (ยาก)|＠|||||||
แมวซุ่มยิง (ง่าย)|แมวซุ่มยิง (ปกติ)|แมวซุ่มยิง (ยาก)|＠|||||||
แมวช่วยเหลือ (ง่าย)|แมวช่วยเหลือ (ปกติ)|แมวช่วยเหลือ (ยาก)|＠|||||||
XP หอมหวาน (ง่าย)|XP หอมหวาน (ปกติ)|XP หอมหวาน (ยาก)|＠|||||||
ด้วยรัก ฮิปโปโลหะ (ยาก)|＠|||||||||
ซูเปอร์ฮิปโปโลหะ (เชี่ยวชาญ)|＠|||||||||
รวมตัวนักกีฬา|ต่อต้านฮาโลวีน|ชนะและแพ้|＠|||||||
ประชุมตลอดสัปดาห์|เพื่อนร่วมงานไม่ทำงาน|เครียดคลายเครียด|งานในด้านความมั่นคงทางการงาน|จ่ายเงินโดยไม่ลาพัก|คุณค่าในนาทีสุดท้าย|＠||||
คืนนั้น|เพลงนั้น|สตูอุ่นๆ|แมวและหิมะ|ซานต้าพาร์ตไทม์|ซานต้าหรือซาตาน!?|ซานต้าได้เงินเดือน|สุขสันต์วันคริสต์มาส|＠||
ไม่มีวันหยุดสุขสันต์|คุมอาหารในวันหยุดล้มเหลว|ไม่มีปณิธานอีกต่อไป|ขอดื่มอีกแก้วเท่านั้น|ปาร์ตี้หลังปาร์ตี้หลังปาร์ตี้|ลืมนับถอยหลัง|สลบไป|เมาค้าง|＠||
ปีศาจเทพ|แดร็กคิวล่าบริจาคเลือด|มนุษย์หมาป่าสัตว์เลี้ยงของฉัน|มัมมี่อาบแดด|ให้เช่าวิญญาณ|ลูซิเฟอร์ชอบยิ้ม|ซอมบี้สุขภาพดี|มนุษย์น่ากลัวกว่า|＠||
หมีปิ้งย่าง|นุ่งน้อยห่มน้อย|มีนวมรองเพียบ|ผึ้งมีหู|หมีติดอาวุธ|เริ่มมีสองขั้ว|สู้ด้วยมือเปล่า|ทนไม่ได้อีกต่อไป|＠||
โจมตีไซโคลน R (เชี่ยวชาญ)|＠|||||||||
โจมตีไซโคลน B (เชี่ยวชาญ)|＠|||||||||
โจมตีไซโคลน W (เชี่ยวชาญ)|＠|||||||||
วิญญาณมืด (บ้าคลั่ง)|＠|||||||||
ป้องกันเต็มที่ (บ้าคลั่ง)|＠|||||||||
บ้าระห่ำ (บ้าคลั่ง)|＠|||||||||
เฟสติวัลน่ารังเกียจ (บ้าคลั่ง)|＠|||||||||
ส่ายหัว (บ้าคลั่ง)|＠|||||||||
แมวตีปีก (บ้าคลั่ง)|＠|||||||||
นรกปลา (บ้าคลั่ง)|＠|||||||||
สัตว์เลี้ยงลูกด้วยนม? (บ้าคลั่ง)|＠|||||||||
แมวเสียสติ (บ้าคลั่ง)|＠|||||||||
โรงเรียนแมวมิวสิคัล|ฉันสัมผัสได้|หนังสือแมว|ป.ล.เหมียวรักคุณ|100 เดตแมว|รำพึง|ฉัน รัก คุณ|มาเริ่มต้นใหม่อีกครั้งเถอะ|＠||
XP หอมหวาน (ง่าย)|XP หอมหวาน (ปกติ)|XP หอมหวาน (ยาก)|XP หอมหวาน (เจนศึก)|XP หอมหวาน (เชี่ยวชาญ)|XP หอมหวาน (บ้าคลั่ง)|＠||||
XP หอมหวาน (ง่าย)|XP หอมหวาน (ปกติ)|XP หอมหวาน (ยาก)|XP หอมหวาน (เจนศึก)|XP หอมหวาน (เชี่ยวชาญ)|XP หอมหวาน (บ้าคลั่ง)|＠||||
เหมือนความรัก|อย่างอนอีกนะ!|อ่านแต่ไม่ตอบ|เดตออนไลน์|ถูกบล็อกใน FB|เลือกงานหรือฉัน!|มาเป็นแค่เพื่อนกันเถอะ|อย่ายอมแพ้!|＠||
ตรากตรำงานแต่งงาน|ส่งเพื่อน|เพลงประกอบคือ "Macarena"|ช่อดอกไม้ตกน้ำ|เรื่องบาดหมางในครอบครัว|จำชื่อเจ้าสาวผิด|แฟนเก่าคัดค้าน|...ไม่ ฉันไม่แต่ง|＠||
