第1天簽到章獎勵！<br>恭喜獲得「加速＋5」！！	第1天
第2天簽到章獎勵！<br>恭喜獲得「土豪貓＋3」！！	第2天
第3天簽到章獎勵！<br>恭喜獲得「稀有券＋1」！！	第3天
第4天簽到章獎勵！<br>恭喜獲得「貓型電腦＋5」！！	第4天
第5天簽到章獎勵！<br>離傳說券還有25天！<br>恭喜獲得「貓咪券＋2」！！	第5天
第6天簽到章獎勵！<br>恭喜獲得「稀有券＋1」！！	第6天
第7天簽到章獎勵！<br>恭喜獲得「寶物雷達＋1」！！	第7天
第8天簽到章獎勵！<br>恭喜獲得「狙擊手＋5」！！	第8天
第9天簽到章獎勵！<br>恭喜獲得「稀有券＋1」！！	第9天
第10天簽到章獎勵！<br>恭喜獲得「貓咪券＋3」！！	第10天
第11天簽到章獎勵！<br>恭喜獲得「洞悉先機＋4」！！	第11天
第12天簽到章獎勵！<br>恭喜獲得「稀有券＋1」！！	第12天
第13天簽到章獎勵！<br>恭喜獲得「土豪貓＋4」！！	第13天
第14天簽到章獎勵！<br>恭喜獲得「貓型電腦＋5」！！	第14天
第15天簽到章獎勵！<br>恭喜獲得「稀有券＋1」！！	第15天
第16天簽到章獎勵！<br>恭喜獲得「寶物雷達＋1」！！	第16天
第17天簽到章獎勵！<br>恭喜獲得「洞悉先機＋3」！！	第17天
第18天簽到章獎勵！<br>恭喜獲得「稀有券＋1」！！	第18天
第19天簽到章獎勵！<br>恭喜獲得「加速＋5」！！	第19天
第20天簽到章獎勵！<br>恭喜獲得「貓咪券＋3」！！	第20天
第21天簽到章獎勵！<br>恭喜獲得「稀有券＋1」！！	第21天
第22天簽到章獎勵！<br>恭喜獲得「洞悉先機＋3」！！	第22天
第23天簽到章獎勵！<br>恭喜獲得「土豪貓＋3」！！	第23天
第24天簽到章獎勵！<br>恭喜獲得「稀有券＋1」！！	第24天
第25天簽到章獎勵！<br>恭喜獲得「貓咪券＋2」！！	第25天
第26天簽到章獎勵！<br>恭喜獲得「寶物雷達＋1」！！	第26天
第27天簽到章獎勵！<br>恭喜獲得「稀有券＋1」！！	第27天
第28天簽到章獎勵！<br>恭喜獲得「狙擊手＋5」！！	第28天
第29天簽到章獎勵！<br>恭喜獲得「稀有券＋1」！！	第29天
第30天簽到章獎勵！<br>恭喜獲得「傳說券＋1」！！	第30天
