＠|＠|＠|＠|＠|＠|＠|			//ネコ
＠|＠|＠|＠|＠|＠|＠|			//タンクネコ
＠|＠|＠|＠|＠|＠|＠|			//バトルネコ
＠|＠|＠|＠|＠|＠|＠|			//キモネコ
＠|＠|＠|＠|＠|＠|＠|			//ウシネコ
＠|＠|＠|＠|＠|＠|＠|			//ネコノトリ
＠|＠|＠|＠|＠|＠|＠|			//ネコフィッシュ
＠|＠|＠|＠|＠|＠|＠|			//ネコトカゲ
＠|＠|＠|＠|＠|＠|＠|			//巨神ネコ
＠|＠|＠|＠|＠|＠|＠|			//ネコ女優
＠|＠|＠|＠|＠|＠|＠|			//カンフーにゃんこ
＠|＠|＠|＠|＠|＠|＠|			//Mr.
＠|＠|＠|＠|＠|＠|＠|			//猫縛り
＠|＠|＠|＠|＠|＠|＠|			//女王猫
＠|＠|＠|＠|＠|＠|＠|			//ネコの箱詰め
＠|＠|＠|＠|＠|＠|＠|			//ネコパンツ
第3進化後體力上升！|同時提升會心一擊率|並取得小波動攻擊！|＠|第3進化後體力上升！|同時提升會心一擊率|並取得小波動攻擊！|			//もねこ
＠|＠|＠|＠|＠|＠|＠|			//ネコリンリン
＠|＠|＠|＠|＠|＠|＠|			//ネコ忍者
＠|＠|＠|＠|＠|＠|＠|			//ネコゾンビ
＠|＠|＠|＠|＠|＠|＠|			//ネコざむらい
＠|＠|＠|＠|＠|＠|＠|			//スモウネコ
＠|＠|＠|＠|＠|＠|＠|			//ネコフィーバー
＠|＠|＠|＠|＠|＠|＠|			//ネコスカート
＠|＠|＠|＠|＠|＠|＠|			//ネコヴァルキリー
＠|＠|＠|＠|＠|＠|＠|			//ネコムート
＠|＠|＠|＠|＠|＠|＠|			//ケリ姫
＠|＠|＠|＠|＠|＠|＠|			//ネコひめ
＠|＠|＠|＠|＠|＠|＠|			//ネコカプセル
＠|＠|＠|＠|＠|＠|＠|			//マスクオブネコ
第3進化後射程變長！|還會取得能夠讓|飄浮敵人攻擊力下降的新能力！|＠|第3進化後射程變長！|還會取得能夠讓|飄浮敵人攻擊力下降的新能力！|			//ネコぼさつ
第3進化後整體能力強化！|還可以讓古代種動作停止|使封印我方角色特殊效果的古代詛咒無效化！|＠|第3進化後整體能力強化！|還可以讓古代種動作停止|使封印我方角色特殊效果的古代詛咒無效化！|			//ネコ番長
第3進化後體力、攻擊力上升！|同時能夠使傳送能力無效化|也更容易使紅色敵人動作變慢！|＠|第3進化後體力、攻擊力上升！|同時能夠使傳送能力無效化|也更容易使紅色敵人動作變慢！|			//ネコザイル
第3進化後攻擊速度減慢但攻擊力提升！|同時取得能夠抵消波動|且不受波動傷害的能力！|＠|第3進化後攻擊速度減慢但攻擊力提升！|同時取得能夠抵消波動|且不受波動傷害的能力！|			//ねこタツ
第3進化後攻擊力大幅上升！|還能取得必定|讓鋼鐵以外的敵人動作停止的新能力！|＠|第3進化後攻擊力大幅上升！|還能取得必定|讓鋼鐵以外的敵人動作停止的新能力！|			//ネコルガ
