Rarity,reflectORstorage,Price,stageDropItemID,quantity,SeverID,category,index,srcItemID,mainMenuType,gatyaTicketID,comment
1,0,1000,0,1,0,3,0,-1,0,-1,スピードアップ
3,0,1000,1,1,1,3,1,-1,0,-1,トレジャーレーダー
2,0,1000,2,1,2,3,2,-1,0,-1,ネコボン
1,0,1000,3,1,3,3,3,-1,0,-1,ニャンピュータ
2,0,1000,4,1,4,3,4,-1,0,-1,おかめはちもく
2,0,1000,5,1,5,3,5,-1,0,-1,スニャイパー
0,0,1,6,1,201,0,0,-1,1,-1,ＸＰ
0,0,1,7,1,217,0,0,-1,0,-1,ＮＰ
0,0,1000,-1,1,-1,0,0,-1,0,-1,ダミー
0,0,1000,-1,1,-1,0,0,-1,0,-1,ダミー
0,0,1,-1,5000,-1,0,0,6,0,-1,ガチャ排出用：5000(XP)
1,0,1,-1,10000,-1,0,0,6,0,-1,ガチャ排出用：10000(XP)
1,0,1,-1,30000,-1,0,0,6,0,-1,ガチャ排出用：30000(XP)
1,0,1,-1,50000,-1,0,0,6,0,-1,ガチャ排出用：50000(XP)
2,0,1,-1,100000,-1,0,0,6,0,-1,ガチャ排出用：100000(XP)
2,0,1,-1,200000,-1,0,0,6,0,-1,ガチャ排出用：200000(XP)
3,0,1,-1,500000,-1,0,0,6,0,-1,ガチャ排出用：500000(XP)
3,0,1,-1,1000000,-1,0,0,6,0,-1,ガチャ排出用：1000000(XP)
3,0,1,-1,2000000,-1,0,0,6,0,-1,ガチャ排出用：2000000(XP)
2,0,1,-1,500000,-1,0,0,6,0,-1,ガチャ排出用：500000(XP)
1,0,1000,11,1,202,0,0,-1,3,-1,にゃんこチケット
3,0,1000,12,1,203,0,0,-1,4,-1,レアチケット
3,0,1000,13,1,200,0,0,-1,2,-1,ネコカン
1,0,1000,16,1,400,1,0,-1,5,97,にゃんこ福引
1,0,1000,14,1,401,1,1,-1,5,97,モンハン大狩猟チケット
1,0,1000,15,1,402,1,2,-1,5,97,まもるよチケット
1,0,1000,17,1,403,1,3,-1,5,97,にゃんこ福引2016
1,0,1000,18,1,404,1,4,-1,5,97,にゃんこ福引2017春
1,0,1000,19,1,405,1,5,-1,5,97,にゃんこ福引2017GW
