Summer Homework Day 1! <br> You got 1 Legend Net!	Day 1
Summer Homework Day 2! <br> You got 1 Legend Net!	Day 2
Summer Homework Day 3! <br> You got 1 Legend Net!	Day 3
Summer Homework Day 4! <br> You got 1 Legend Net!	Day 4
Summer Homework Day 5! <br> You got 1 Cat Ticket!	Day 5
Summer Homework Day 6! <br> You got 1 Legend Net!	Day 6
Summer Homework Day 7! <br> You got 1 Legend Net!	Day 7
Summer Homework Day 8! <br> You got 1 Legend Net!	Day 8
Summer Homework Day 9! <br> You got 1 Legend Net!	Day 9
Summer Homework Day 10! <br> You got 1 Cat Ticket!	Day 10
Summer Homework Day 11! <br> You got 1 Legend Net!	Day 11
Summer Homework Day 12! <br> You got 1 Legend Net!	Day 12
Summer Homework Day 13! <br> You got 1 Legend Net!	Day 13
Summer Homework Day 14! <br> You got 1 Legend Net!	Day 14
Summer Homework Day 15! <br> You got 1 Cat Ticket!	Day 15
Summer Homework Day 16! <br> You got 1 Legend Net!	Day 16
Summer Homework Day 17! <br> You got 1 Legend Net!	Day 17
Summer Homework Day 18! <br> You got 1 Legend Net!	Day 18
Summer Homework Day 19! <br> You got 1 Legend Net!	Day 19
Summer Homework Day 20! <br> You got 1 Cat Ticket!	Day 20
Summer Homework Day 21! <br> You got 1 Legend Net!	Day 21
Summer Homework Day 22! <br> You got 1 Legend Net!	Day 22
Summer Homework Day 23! <br> You got 1 Legend Net!	Day 23
Summer Homework Day 24! <br> You got 1 Legend Net!	Day 24
Summer Homework Day 25! <br> You got 1 Cat Ticket!	Day 25
Summer Homework Day 26! <br> You got 1 Legend Net!	Day 26
Summer Homework Day 27! <br> You got 1 Legend Net!	Day 27
Summer Homework Day 28! <br> You got 1 Legend Net!	Day 28
Summer Homework Day 29! <br> You got 1 Legend Net!	Day 29
Summer Homework Day 30! <br> You got 1 Rare Ticket!	Day 30
