Speed Up|Doubles your Battle speed.|Gold Card Officers receive 3x battle speed!|(Tap icon to toggle ON/OFF during battle.)|＠|
Treasure Radar|100% reward drop rate upon a Victory in battle.|Guaranteed to receive Superior Treasure |or Cat Unit, or XP/Catfruit stage drop reward.|＠|
Rich Cat|Worker Cat starts the battle at MAX Level.|Seize the advantage in battle without needing|to spend money on upgrading Worker Cat!||
Cat CPU|Cat CPU's AI will fight the battle automatically|for you. It's Cat-developed tech, so don't|expect much. (Tap icon to toggle ON/OFF)||
Cat Jobs|Receive 1.5 times more XP than usual|upon stage clear. Use on stages with |large XP rewards to get the most value!||
Sniper the Cat|Pushes back enemies with cover fire. Attack |power changes dependent on Cat Base health. |(Tap icon to toggle ON/OFF during battle.)|＠|
XP|Purchase XP to power up your Cat Units!|＠|＠||
NP|＠||||
dummy|＠||||
dummy|＠||||
5000 XP|＠||||
10000 XP|＠||||
30000 XP|＠||||
50000 XP|＠||||
100000 XP|＠||||
200000 XP|＠||||
500000 XP|＠||||
1000000 XP|＠||||
2000000 XP|＠||||
XP 500000|＠||||
Cat Ticket|＠||||
Rare Ticket|＠||||
Cat Food|Used to purchase Items, XP and other goods.|＠|||
Lucky Ticket|＠||||
|＠||||
|＠||||
Lucky Ticket|＠||||
Lucky Ticket|＠||||
Lucky Ticket|＠||||
Platinum Ticket|＠||||
Purple Catfruit Seed|The seed of a mystical fruit that helps|certain Cats realize their True potential.|＠||
Red Catfruit Seed|The seed of a mystical fruit that helps|certain Cats realize their True potential.|＠||
Blue Catfruit Seed|The seed of a mystical fruit that helps|certain Cats realize their True potential.|＠||
Green Catfruit Seed|The seed of a mystical fruit that helps|certain Cats realize their True potential.|＠||
Yellow Catfruit Seed|The seed of a mystical fruit that helps|certain Cats realize their True potential.|＠||
Purple Catfruit|A mystical fruit that helps certain|Cats realize their True potential.|＠||
Red Catfruit|A mystical fruit that helps certain|Cats realize their True potential.|＠||
Blue Catfruit|A mystical fruit that helps certain|Cats realize their True potential.|＠||
Green Catfruit|A mystical fruit that helps certain|Cats realize their True potential.|＠||
Yellow Catfruit|A mystical fruit that helps certain|Cats realize their True potential.|＠||
Epic Catfruit|A mystical fruit that helps certain|Cats realize their True potential.|＠||
Elder Catfruit Seed|The seed of a mystical fruit that helps|certain Cats realize their True potential.|＠||
Elder Catfruit|A mystical fruit that helps certain|Cats realize their True potential.|＠||
Epic Catfruit Seed|The seed of a mystical fruit that helps|certain Cats realize their True potential.|＠||
Gold Catfruit|A mystical fruit that helps certain|Cats realize their True potential.|＠||
Lucky Ticket|＠||||
Lucky Ticket|＠||||
Lucky Ticket|＠||||
Lucky Ticket|＠||||
Lucky Ticket|＠||||
Catseye [Special]|Raise level cap for one Special Cat.|※Usable on Level 30 Cat Units.|＠||
Catseye [Rare]|Raise level cap for one Rare Cat.|※Usable on Level 30 Cat Units.|＠||
