item_pack_name_0	Offerta: Pack Friskat!
item_pack_name_1	Offerta: Super pack Friskat!
item_pack_name_2	Offerta: Ultra pack Friskat!
item_pack_name_3	Offerta Blitz: Set Friskat speciale!
item_pack_name_4	Offerta Blitz: Set Friskat super!
item_pack_name_5	Offerta Blitz: Set Friskat ultra!
item_pack_name_6	Offerta speciale: compra 1 bigl. raro!
item_pack_name_7	Offerta speciale: Biglietto platino!
item_pack_name_11	Compra il pack iniziale platino!
item_pack_name_12	
item_pack_name_13	Pack Leone Shakurel
item_pack_name_14	Pack Tigre Shakurel
item_pack_name_15	Pack Panda Shakurel
item_pack_name_17	Pack ringraziamento
item_pack_name_18	Offerta limitata: Argento
item_pack_name_19	Offerta limitata: Oro
item_pack_name_20	Offerta limitata: Platino
item_pack_purchased_title	<flash>%@</flash><br>
item_pack_purchased_item	%@ x %d → <color=255,255,0>%d</color><br>
item_pack_purchased_xp	%@ %d → <color=255,255,0>%d</color><br>
item_pack_purchased_ticket	%@ x %d → <color=255,255,0>%d</color><br>
battle_result_first_clear_bonus	<color=255,255,0>Prima ricompensa</color><br>Hai ricevuto <flash>30 Friskat!!</flash><br>Hai anche ottenuto <flash>1 Leadership!!</flash>
user_rank_gift_1600_catseye_unlocked	<flash>Aumenta il tuo livello max!</flash><br>Usa un Occhio di gatto su certi Gatti<br>per sbloccare i loro livelli superiori!
user_rank_gift_no_more	<color=255,255,0>Hai sbloccato tutte le ricompense disponibili<br>per ora... Presto ne arriveranno altre!</color>
user_rank_popup_title1	<color=255,255,0>Missione Grado giocatore</color><br>
user_rank_popup_title2	<flash>Grado giocatore %d superato!</flash><br>
user_rank_popup_title3	<color=255,255,0>Grado giocatore ${rankNum} raggiunto!</color><br>Vuoi ritirare la ricompensa?
user_rank_full_recovery_energy	Hai ottenuto <flash>1 Leadership!</flash>
data_upload_error_catfood_20000	Impossibile salvare i dati, poiché sembra siano stati alterati o hackerati. Contatta il servizio clienti.
energy_connecting	Aggiornamento dati...
energy_connection_failed1	Errore aggiornamento dati energia.
energy_connection_failed2	Verifica la tua connessione e riprova.
energy_fraud1	L'orario del tuo dispositivo potrebbe essere stato alterato.
energy_fraud2	L'energia non verrà recuperata per breve tempo.
gamatoto_connection	Aggiornamento dati...
gamatoto_connection_failed	Errore durante il calcolo della durata della Spedizione. Controlla la connessione e riavvia l'app.
gamatoto_fraud	L'orario del tuo dispositivo potrebbe essere stato alterato. L'energia non verrà recuperata per breve tempo.
reset_item_reward	<color=255,255,0>Disponibilità ricompense ripristinata!</color><br>Le ricompense precedentemente sbloccate sono disponibili ancora una volta.<br>Completa gli incarichi per riceverle di nuovo!
reset_tower_state	<color=255,255,0>Stato ricompense ripristinato!</color><br>Le condizioni delle ricompense sono state ripristinate e<br>le ricompense sono di nuovo disponibili.
reward_energy	Possibilità di recupero Energia!<br>Guardare un video per recuperare %d Energia?</flash>
receive_energy	%d Energia recuperata.
receive_energy_full	Recuperata tutta l'Energia.
network_unavailable_energy	Energia non aggiornata.\nControlla la tua rete!
network_unavailable_gamatoto	Friskat non aggiornato.\nControlla la tua rete!
001_img044.png	i001_img044_it.png
001_img044.imgcut	i001_img044_it.imgcut
001_img045.png	i001_img045_it.png
001_img045.imgcut	i001_img045_it.imgcut
021_e.png	i021_e_it.png
021_e.imgcut	i021_e_it.imgcut
slot_copy_select	Le unità possono essere copiate dallo slot %d.<br>Copiare o sostituire unità?
slot_copy	Unità copiate dallo slot %d.<br>Vai negli slot desiderati e tocca sostituisci.<br>
slot_paste	Questo slot sarà sostituito con unità dello slot %d. <br>Vuoi davvero farlo?
instant_koyashi	5 capsule inutilizzabili possono essere<br>scambiate per un biglietto raro.<br>Scambiare le capsule massimizzate?<br>(Ti servono altre %d capsule valide)
storage_koyashi	Tutte le capsule inutilizzabili saranno scambiate<br>per ricevere il/i biglietto/i raro/i.<br>Vuoi davvero farlo?<br>
have_koyashi	%d Capsule valide per essere scambiate.
tutorial_favoriteUnit	Tocca il pulsante ☆ per passare dalla visualizzazione<br>delle unità preferite o<br>di tutte le unità che hai raccolto.
tutorial_favoriteUnit_pictureBook1	<color=255,255,0>Impostare i Preferiti ①</color><br>Quando hai scelto i Gatti<br>Preferiti, puoi toccare il pulsante "Conferma ☆"<br>per chiudere il menu dei Preferiti!
tutorial_favoriteUnit_pictureBook2	<color=255,255,0>Impostare i Preferiti ②</color><br>Tocca il pulsante Filtro sui menu Potenzia<br>o Equipaggia per mostrare SOLO<br>i Gatti che hai impostato come Preferiti!
everyplay_not_supported	Questo dispositivo non è supportato.
everyplay_no_related_videos	Nessun video correlato trovato.
cat_challenge01	<flash>Un benvenuto al Dojo miciodiale!</flash><br>Una battaglia a tempo limitato con infiniti nemici.<br>Sconfiggine più che puoi per raggiungere il punteggio<br>massimo! (I nemici sconfitti non danno soldi).
data_download_error_catfood_20000	Rilevata una manipolazione di dati non autorizzata. Questi dati non possono essere trasferiti su un altro dispositivo. Contatta l'assistenza PONOS.
cat_challenge_item	Usa tutte le accelerazioni e i<br>Gatti CPU che vuoi mentre combatti<br>nel Dojo miciodiale!<br>* Attivando un turbo lo consumerai.
zombie_clear00	<flash>${stageName} Invasione respinta!</flash><br>Hai ricevuto 10 Friskat!
zombie_clear01	<flash>Zona di quarantena al sicuro!</flash><br>%@ Probabilità tesori aumentata!
zombie_clear02	<flash>Zone di quarantena dell'Impero al sicuro!</flash><br>Energia massima aumentata di ${EnergyNum}!
zombie_clear03	<flash>Probabilità tesori aumentata su alcuni livelli!</flash><br>Controlla la Lista tesori per maggiori informazioni!
zombie_clear04	<flash>Zone di quarantena di Futuro al sicuro!</flash><br>Energia massima aumentata di ${EnergyNum}!
zombie_clear05	<flash>Zone di quarantena di Cosmo al sicuro!</flash><br>Energia massima aumentata di ${EnergyNum}!
zombie_area_00	ZQ Asia orientale
zombie_area_01	ZQ Oceano Indiano
zombie_area_02	ZQ Faglia dell'Himalaya
zombie_area_03	ZQ Afro-mediterranea
zombie_area_04	ZQ Alpi
zombie_area_05	ZQ Europa occidentale
zombie_area_06	ZQ Nord-Atlantico
zombie_area_07	ZQ Americhe Orientali
zombie_area_08	ZQ Pacifico
zombie_area_09	ZQ Fairbanks
zombie_area_10	ZQ Mauna Kea
receivedBoxText	Gli oggetti non riscattati entro 30 giorni saranno disabilitati.
receive_version_error	Aggiorna l'app alla versione più recente<br>prima di accettare le ricompense.
receive_network_error	Errore di connessione<br>Impossibile ricevere gli oggetti.
receive_item_popup	%d %s
receive_item_popup_xp	%d %s
receive_item_popup_chara	Unità Gatto: %s
receive_item_popup_chara_evolve	Forma Reale: %s
receive_item_popup_last	ricevuto/i!
zombie_treasure	Zona di quarantena al sicuro!<br>%@ Probabilità tesori aumentate!
zombie_treasure01	Tutti i livelli in questa pagina sono al sicuro dagli zombi!<br>Probabilità tesori aumentata per questi livelli!
receive_list_network_error	Impossibile mostrare a causa di<br>un errore di connessione.
receive_item_none_popup	Al momento non hai oggetti <br>disponibili da raccogliere.
serial_error_popup	Impossibile ricevere gli oggetti.<br>Se pensi ci sia un errore<br>contatta il Servizio clienti.
ponos_games_url	https://ponos.s3.amazonaws.com/iphone/en/battlecats.html
zombie_comp	Zona di quarantena al sicuro!<br>%@ Probabilità tesori aumentata!<br>Il mondo è al sicuro dall'invasione zombi!<br>L'Energia massima è stata aumentata!
zombie_comp01	Tutti i livelli in questa pagina sono al sicuro dagli zombi!<br>Probabilità tesori aumentata per questi livelli!<br>Tutte le aree sono al sicuro dagli zombi!<br>Energia felina massima aumentata!
zombie_comp02	Tutti i livelli in questa zona sono al sicuro!<br>Probabilità tesori aumentata per questi livelli!<br>Tutte le zone di quarantena di Cosmo sono difese!
Space09_Invasion_stageclear_txt1	<flash>Hai sconfitto un nemico potentissimo!</flash><br>L'unità speciale Gatto Ostruzione X<br>ha giurato fedeltà alla tua armata felina!<br>Riscattala al menu Potenzia!
maxcollab_mg	Unità collab. non disponibili al di fuori del periodo dell'Evento collab.
maxcollab_popup	<flash>Hai ottenuto un Gatto speciale: "%@"!</flash><br>Attivalo nel menu Potenzia!
slot_set_error	<color=255,255,0>Non hai Unità Gatto selezionate per la tua armata!</color>
shop_category1	Oggetti da battaglia
shop_category2	XP
shop_category3	GAMATOTO
collabo_send_message	Hai ricevuto una ricompensa utilizzabile in "%@"!<br>Avviare l'app "%@"?
collabo_send_title_0	
collabo_send_scheme_0	
collabo_send_url_0	
collabo_send_url_android_0	
collabo_send_title_1	
collabo_send_scheme_1	
collabo_send_url_1	
collabo_send_url_android_1	
collabo_send_title_2	
collabo_send_scheme_2	
collabo_send_url_2	
collabo_send_url_android_2	
collabo_send_title_3	
collabo_send_scheme_3	
collabo_send_url_3	
collabo_send_url_android_3	
collabo_send_title_4	
collabo_send_scheme_4	
collabo_send_url_4	
collabo_send_url_android_4	
collabo_send_title_5	
collabo_send_scheme_5	
collabo_send_url_5	
collabo_send_url_android_5	
collabo_send_title_14	
collabo_send_scheme_14	
collabo_send_url_14	
collabo_send_url_android_14	
collabo_send_title_17	
collabo_send_scheme_17	
collabo_send_url_17	
collabo_send_url_android_17	
collabo_send_url_android_27	
collabo_send_title_6	
collabo_send_scheme_6	
collabo_send_url_6	
collabo_send_url_android_6	
collabo_send_title_15	
collabo_send_scheme_15	
collabo_send_url_15	
collabo_send_url_android_15	
collabo_send_title_16	
collabo_send_scheme_16	
collabo_send_url_16	
collabo_send_url_android_16	
collabo_send_title_18	
collabo_send_scheme_18	
collabo_send_url_18	
collabo_send_url_android_18	
collabo_send_title_19	
collabo_send_scheme_19	
collabo_send_url_19	
collabo_send_url_android_19	
collabo_send_title_20	
collabo_send_scheme_20	
collabo_send_url_20	
collabo_send_url_android_20	
collabo_send_title_7	
collabo_send_scheme_7	
collabo_send_url_7	
collabo_send_url_android_7	
collabo_send_title_8	
collabo_send_scheme_8	
