提升傷害%@【%@】	對%@的傷害將會提升
減輕傷害%@【%@】	受%@的傷害將會減輕
強化善於攻擊%@【%@】	善於攻擊%@的效果會提升
強化超大傷害%@【%@】	對%@超大傷害的效果會提升
強化很耐打%@【%@】	對%@很耐打的效果會提升
遺留小烈波%@	當角色被打倒時會發出小烈波攻擊<br>本角色每生產2次時會獲得此能力（效果無法重複）
抗波耐性%@	減輕來自敵人的波動傷害
金錢回饋%@	當角色被打倒時，玩家可獲得部分的生產成本<br>本角色每生產2次時會獲得此能力
抗飛耐性%@	減輕來自敵人的「打飛」效果
傳奇故事強化%@	在傳奇故事的關卡中<br>角色的體力與攻擊力會上升（效果無法重複）
超生命體特效%@	本角色每生產2次時<br>會獲得超生命體特效（效果無法重複）
貓咪砲充電%@	當角色被打倒時能充電貓咪砲<br>本角色每生產2次時會獲得此能力（效果無法重複）
抗毒擊耐性%@	減輕來自敵人的毒擊效果
全攻擊無效%@	受到敵人攻擊時能不受傷害一段時間<br>本角色每生產2次時會獲得此能力（效果無法重複）
動慢耐性%@	減輕來自敵人的「動作變慢」效果
抗古代詛咒耐性%@	減輕來自敵人的「古代詛咒」效果
真傳奇故事強化%@	在真傳奇故事的關卡中<br>角色的體力與攻擊力會上升（效果無法重複）
1次烈波反擊%@	受到敵人的烈波攻擊傷害時，會發射烈波進行反擊（僅1次）<br>本角色每生產2次時會獲得此能力（效果無法重複）
打倒敵人攻擊力上升%@	打倒一定數量的敵人時，會提升<br>自己的攻擊力（效果無法重複）
縮短生產時間%@	縮短角色的生產所需時間。本角色每生產<br>2次時會獲得此能力（效果無法重複）
動止耐性%@	減輕來自敵人的「動作停止」效果
抗擊耐性%@	減輕來自敵人的「攻擊力下降」效果
