25,25,97,0,		//下地のカラーR,G,B,点線,
8,			//A
1595,708,			//1:ブランカ
558,535,			//2:ダルシム
1440,516,			//3:ケン
1098,584,			//4:ボーナス
678,480,			//5:チュンリー
408,380,			//6:ザンギエフ
1371,466,			//7:ガイル
805,468,			//8:リュウ
8,			//B
558,535,			//1:ダルシム
408,380,			//2:ザンギエフ
678,480,			//3:チュンリー
1098,584,			//4:ボーナス
1440,516,			//5:ケン
1595,708,			//6:ブランカ
805,468,			//7:リュウ
1371,466,			//8:ガイル
8,			//C
408,380,			//1:ザンギエフ
1371,466,			//2:ガイル
1440,516,			//3:ケン
1098,584,			//4:ボーナス
558,535,			//5:ダルシム
678,480,			//6:チュンリー
805,468,			//7:リュウ
1595,708,			//8:ブランカ
1,			//D
805,468,			//1
1,			//E
678,480,			//2
1,			//F
1371,466,			//3
1,			//G
408,380,			//4
1,			//H
1595,708,			//5
1,			//I
558,535,			//6
1,			//J
1440,516,			//7
2,			//K
782,487,			//8
827,439
12,			//L
1595,708,			//1:ブランカ
558,535,			//2:ダルシム
1440,516,			//3:ケン
1098,584,			//4:ボーナス
678,480,			//5:チュンリー
408,380,			//6:ザンギエフ
1371,466,			//7:ガイル
805,468,			//8:リュウ
1311,503,			//9:バイソン
196,460,			//10:バルログ
673,550,			//11:サガット
657,579,			//12:ベガ
12,			//M
824,453,
409,380,
673,481,
1103,591,
1444,519,
559,536,
799,486,
1366,468,
1596,707,
196,459,
670,551,
653,582,
12,			//N
408,376,
1373,468,
1440,514,
1098,587,
560,532,
670,477,
800,476,
1594,707,
1316,504,
195,461,
828,452,
652,578,
1,			//O
813,470,
1,			//P
1315,506,
1,			//Q
193,459,
1,			//R
665,555,
1,			//S
654,580,
10,			//T
805,468,
1371,466,
1315,506,
1595,708,
665,555,
678,480,
408,380,
193,459,
558,535,
654,580,
1
200,386
1
771,473
