1|Sammle alle Schätze,<br>um deine Katzen zu stärken!
1|Beende Kap. 2 und erhalte<br>eine coole Spezialeinheit!
1|Durch "Imperiums"-Schätze<br>bist du in "Zukunft" besser!
1|Erobere den Planeten!
2|Schließe Kapitel 2 ab und<br>erhalte eine Spezialeinheit!
2|Erobere den Planeten!
3|Es gibt noch Schätze<br>in Kapitel 2!
3|Schließe Kapitel 3 ab und<br>erhalte eine Spezialeinheit!
4|Schließe Kapitel 3 ab und<br>erhalte ein Spezialgeschenk!
4|Erobere den Planeten!
5|Je mehr Schätze,<br>desto stärker deine Katzen!
5|Schätze aus "Imperium"<br>sind in "Zukunft" nützlich!
5|Schätze helfen dir in<br>Zukunfts-/Legendenleveln!
5|Es gibt noch Schätze<br>in "Imperium" ...
6|Katzen regieren die Welt!<br>Glückwunsch!
6|Alle Schätze gesammelt!<br>Suuuuper!
7|Es gibt noch Schätze<br>in Kapitel 1!
8|Es gibt noch Schätze<br>in Kapitel 1!
9|Es gibt noch Schätze<br>in Kapitel 1!
10|Das Schatzfest hat begonnen!<br>
10|Chance auf Schätze<br>erhöht!
11|Das Schatzfest hat begonnen!<br>
11|Chance auf Schätze<br>erhöht!
12|Das Schatzfest hat begonnen!<br>
12|Chance auf Schätze<br>erhöht!
13|Zeit für einen Angriff auf<br>die Zukunft!
13|In der Zukunft lauern<br>megastarke Feinde!
13|Erobere die Zukunft!
14|Es gibt noch Schätze<br>in Kapitel 1!
14|Sammle Schätze für<br>mehr Macht in der Zukunft!
15|Erhalte neue Katzenkombos<br>indem du Kap. 2 abschließt!
15|Es gibt noch Schätze<br>in Kapitel 1!
16|Schließe Kapitel 3 ab und<br>erhalte eine Spezialeinheit!
16|Kapitel 3 erwartet dich!
16|Es gibt noch Schätze<br>in Kapitel 2!
17|Beende Kap. 3 und schalte<br>neue Katzenkombos frei!
17|Sammle Schätze, um Kap. 3<br>abschließen zu können!
18|Es gibt noch Schätze<br>in "Zukunft" ...
18|Glückwunsch zum Abschluss<br>von Kap. 3 der Zukunftsreise!
19|Katzen beherrschen jetzt<br>Zeit und Raum! Glückwunsch!
19|Alle Schätze gesammelt!<br>Suuuuper!
22|Limitierte Kollaborationslevel<br>haben begonnen!|Kollaborationslevel haben begonnen!
24|Halbe-Energie-Event!<br>Jetzt in Kapitel 1!
24|Spiele Level in Kapitel 1<br>für halbe Energiekosten!
25|Halbe-Energie-Event!<br>Jetzt in Kapitel 2!
25|Spiele Level in Kapitel 2<br>für halbe Energiekosten!
26|Halbe-Energie-Event!<br>Jetzt in Kapitel 3!
26|Spiele Level in Kapitel 3<br>für halbe Energiekosten!
27|Halbe-Energie-Event!<br>Jetzt in Kapitel 1 & 2!
27|Spiele Level in Kapitel 1 oder 2<br>für halbe Energiekosten!
28|Halbe-Energie-Event!<br>Jetzt in Kapitel 1 & 3!
28|Spiele Level in Kapitel 1 oder 3<br>für halbe Energiekosten!
29|Halbe-Energie-Event!<br>Jetzt in Kapitel 2 & 3!
29|Spiele Level in Kapitel 2 oder 3<br>für halbe Energiekosten!
30|Halbe-Energie-Event!<br>Jetzt!
30|Halbe Energiekosten<br>in allen Kapiteln!
31|Halbe-Energie-Event!<br>Jetzt in Kapitel 1!
31|Spiele Level in Kapitel 1<br>für halbe Energiekosten!
32|Halbe-Energie-Event!<br>Jetzt in Kapitel 2!
32|Spiele Level in Kapitel 2<br>für halbe Energiekosten!
33|Halbe-Energie-Event!<br>Jetzt in Kapitel 3!
33|Spiele Level in Kapitel 3<br>für halbe Energiekosten!
34|Halbe-Energie-Event!<br>Jetzt in Kapitel 1 & 2!
34|Spiele Level in Kapitel 1 oder 2<br>für halbe Energiekosten!
35|Halbe-Energie-Event!<br>Jetzt in Kapitel 1 & 3!
35|Spiele Level in Kapitel 1 oder 3<br>für halbe Energiekosten!
36|Halbe-Energie-Event!<br>Jetzt in Kapitel 2 & 3!
36|Spiele Level in Kapitel 2 oder 3<br>für halbe Energiekosten!
37|Halbe-Energie-Event!<br>Jetzt!
37|Halbe Energiekosten<br>in allen Kapiteln!
38|Halbe-Energie-Event!<br>In Sonderleveln!
39|Zombieausbrüche<br>in Kapitel 1!
40|Zombieausbrüche<br>in Kapitel 2!
41|Zombieausbrüche<br>in Kapitel 3!
42|Zombieausbrüche<br>in Kapitel 1 & 2!
43|Zombieausbrüche<br>in Kapitel 1 & 3!
44|Zombieausbrüche<br>in Kapitel 2 & 3!
45|Zombieausbrüche<br>ÜBERALL!
46|Ranglisten-Event<br>läuft!|Ranglisten-Event<br>hat begonnen!
47|Event beendet!<br>Rangliste wird ermittelt …
48|Sieh dir die<br>endgültige Rangliste an!|Sieh dir die<br>endgültige Rangliste an!
49|Der Kosmos<br>erwartet dich jetzt!
49|Im All wimmelt es nur so<br>von starken Feinden!
49|Erobere den Kosmos!
50|Kosmos-Kapitel 1<br>ABGESCHLOSSEN!
50|Es gibt noch Schätze<br>in Kapitel 1!
51|Hol dir Schätze in Kapitel 2<br>für coole Belohnungen!
51|Sammle Schätze für<br>mehr Macht im Kosmos!
52|Hol dir alle Schätze aus<br>den Zukunftsreise-Kapiteln!
53|Es gibt noch Schätze<br>in Kapitel 1 und 2!
54|Es gibt noch Schätze<br>in Kapitel 1!
55|Es gibt noch Schätze<br>in Kapitel 2!
56|Erobere den Planeten!
57|Es gibt noch Schätze<br>in Kapitel 2!
58|Es gibt noch Schätze<br>in Kapitel 1!
59|Beende Zukunftskapitel 2 &<br>erhalte eine mächtige Katze!
60|Hol dir alle Schätze aus den<br>Katzenimperium-Kapiteln!
61|Hol dir alle Schätze aus<br>den Zukunftsreise-Kapiteln!
62|Es gibt noch Schätze<br>in Kapitel 1!
62|Sammle Schätze für<br>mehr Macht im Kosmos!
63|Kosmos-Kapitel 3<br>ABGESCHLOSSEN!
63|Es gibt noch Schätze<br>in Kapitel 2!
64|Es gibt noch Schätze<br>in Kapitel 1!
64|Sammle Schätze für<br>mehr Macht im Kosmos!
65|Hol dir Schätze in Kapitel 3<br>für coole Belohnungen!
65|Sammle Schätze, um Kap. 3<br>abschließen zu können!
66|Es gibt noch Schätze<br>in Kapitel 1 und 2!
67|Es gibt noch Schätze<br>in Kapitel 1!
68|Es gibt noch Schätze<br>in Kapitel 2!
69|Es gibt noch Schätze<br>in Kapitel 2!
70|Es gibt noch Schätze<br>im Kosmos!
70|Kosmos-Kapitel 3<br>abgeschlossen! Glückwunsch!
71|Katzen regieren die Galaxis!<br>Glückwunsch!
71|Alle Schätze gesammelt!<br>Suuuuper!
72|Halbe-Energie-Event!<br>Jetzt in Kapitel 1!
72|Spiele Level in Kapitel 1<br>für halbe Energiekosten!
73|Halbe-Energie-Event!<br>Jetzt in Kapitel 2!
73|Spiele Level in Kapitel 2<br>für halbe Energiekosten!
74|Halbe-Energie-Event!<br>Jetzt in Kapitel 3!
74|Spiele Level in Kapitel 3<br>für halbe Energiekosten!
75|Halbe-Energie-Event!<br>Jetzt in Kapitel 1 & 2!
75|Spiele Level in Kapitel 1 oder 2<br>für halbe Energiekosten!
76|Halbe-Energie-Event!<br>Jetzt in Kapitel 1 & 3!
76|Spiele Level in Kapitel 1 oder 3<br>für halbe Energiekosten!
77|Halbe-Energie-Event!<br>Jetzt in Kapitel 2 & 3!
77|Spiele Level in Kapitel 2 oder 3<br>für halbe Energiekosten!
78|Halbe-Energie-Event!<br>Jetzt!
78|Halbe Energiekosten in allen<br>Kapiteln, nur jetzt!
79|Zombieausbruch in Kapitel 1!
80|Zombieausbruch in Kapitel 2!
81|Zombieausbruch in Kapitel 3!
82|Zombies in Kapitel 1 & 2!
83|Zombies in Kapitel 1 & 3!
84|Zombies in Kapitel 2 & 3!
85|Zombies in allen Kapiteln!
86|Zombieausbruch in Kapitel 1!
87|Zombieausbruch in Kapitel 2!
88|Zombieausbruch in Kapitel 3!
89|Zombies in Kapitel 1 & 2!
90|Zombies in Kapitel 1 & 3!
91|Zombies in Kapitel 2 & 3!
92|Zombies in allen Kapiteln!
93|Das Untergrund-Labyrinth-<br>Event läuft jetzt!|Untergrund-Labyrinth<br>Event hat begonnen!
94|Ergebnisse vom Untergrund-<br>Labyrinth werden berechnet!
95|Hier sind die Ergebnisse vom<br>Untergrund-Labyrinth-Event!|Untergrund-Laby.:<br>Die Ergeb. sind jetzt verfügbar!
99|Schatz. hat jetzt für<br>wiederkeh. Spieler begonnen!
101|Wage dich in den Katzenkrall-<br>Meistersch.Rang 1!|Herausforderung: Rang 1!
102|Wage dich in den Katzenkrall-<br>Meistersch.Rang 2!|Herausforderung: Rang 2!
103|Wage dich in den Katzenkrall-<br>Meistersch.Rang 3!|Herausforderung: Rang 3!
104|Wage dich in den Katzenkrall-<br>Meistersch.Rang 4!|Herausforderung: Rang 4!
105|Wage dich in den Katzenkrall-<br>Meistersch.Rang 5!|Herausforderung: Rang 5!
106|Wage dich in den Katzenkrall-<br>Meistersch.Rang 6!|Herausforderung: Rang 6!
107|Wage dich in den Katzenkrall-<br>Meistersch.Rang 7!|Herausforderung: Rang 7!
108|Wage dich in den Katzenkrall-<br>Meistersch.Rang 8!|Herausforderung: Rang 8!
109|XP-Level<br>hat begonnen!|XP-Level hat begonnen!
110|Entw.-Material-Level<br>hat begonnen!|Entw.-Material-Level hat begonnen!
111|Katzenticket-Eventlevel<br>hat begonnen!|Katzenticket-Eventlevel hat begonnen!
112|Basismaterial-Eventlevel<br>hat begonnen!|Basismaterial-Eventlevel hat begonnen!
