Sello de lealtad 1<br>¡Has ganado 4 aceleradores!	Día 1
Sello de lealtad 2<br>¡Has ganado 4 gatos ricachones!	Día 2
Sello de lealtad 3<br>¡Has ganado 2 radares de tesoros!	Día 3
Sello de lealtad 4<br>¡Has ganado 2 tiques gatunos!	Día 4
Sello de lealtad 5<br>¡Has ganado 1 tique raro!	Día 5
Sello de lealtad 6<br>¡Has ganado 2 sabelotodos!	Día 6
Sello de lealtad 7<br>¡Has ganado 2 gatotiradores!	Día 7
Sello de lealtad 8<br>¡Has ganado 1 tique raro!	Día 8
Sello de lealtad 9<br>¡Has ganado 4 gatomáticos!	Día 9
Sello de lealtad 10<br>¡Has ganado 2 tiques gatunos!	Día 10
Sello de lealtad 11<br>¡Has ganado 1 tique raro!	Día 11
Sello de lealtad 12<br>¡Has ganado 2 radares de tesoros!	Día 12
Sello de lealtad 13<br>¡Has ganado 4 aceleradores!	Día 13
Sello de lealtad 14<br>¡Has ganado 1 tique raro!	Día 14
Sello de lealtad 15<br>¡Has ganado 4 gatos ricachones!	Día 15
Sello de lealtad 16<br>¡Has ganado 2 tiques gatunos!	Día 16
Sello de lealtad 17<br>¡Has ganado 1 tique raro!	Día 17
Sello de lealtad 18<br>¡Has ganado 2 sabelotodos!	Día 18
Sello de lealtad 19<br>¡Has ganado 3 gatotiradores!	Día 19
Sello de lealtad 20<br>¡Has ganado 1 tique raro!	Día 20
Sello de lealtad 21<br>¡Has ganado 4 gatomáticos!	Día 21
Sello de lealtad 22<br>¡Has ganado 2 tiques gatunos!	Día 22
Sello de lealtad 23<br>¡Has ganado 1 tique raro!	Día 23
Sello de lealtad 24<br>¡Has ganado 2 radares de tesoros!	Día 24
Sello de lealtad 25<br>¡Has ganado 2 sabelotodos!	Día 25
Sello de lealtad 26<br>¡Has ganado 1 tique raro!	Día 26
Sello de lealtad 27<br>¡Has ganado 3 gatotiradores!	Día 27
Sello de lealtad 28<br>¡Has ganado 2 radares de tesoros!	Día 28
Sello de lealtad 29<br>¡Has ganado 2 sabelotodos!	Día 29
Sello de lealtad 30<br>¡Has ganado a Gato Bloque de Oro!	Día 30
