100000,1
150000,1,世界が平和になった気がした
200000,1,明日はきっと寝坊しないと思う
250000,1,失われた記憶を取り戻した
300000,1,目頭が熱くなった
350000,1,視力が0.1上がった気がする
400000,1,昔埋めたタイムカプセルを思い出した
500000,1,なんだか興奮してきた
750000,1,テストで99点取れる気がした
800000,2,神社がパワーアップする予感がした
825000,2,消えていく経験値に思いを馳せた
850000,2,なぜ人はお賽銭を入れるのだろうか
875000,2,苦いレモンの香りを思い出した
900000,2,優しさに包まれた気がする
950000,2,未来がちょっぴり見えた気がする
1000000,2,絶対キレイになってやる
1150000,2,少しだけ幸せになれた気がする
1250000,2,願いは届くであろう
1400000,2,24時間戦えそうな気がした
1500000,3,無駄遣いされないことを祈った
1600000,3,来年から頑張ろうと思う
1700000,3,幸せって何だっけ
1800000,3,霊感が鋭くなったかもしれない
1900000,3,どこかで赤ちゃんが産声を上げた
2500000,3,どこかの勇者もレベルアップした
3000000,3,初恋の人を思い出した
4000000,3,フォロワーがちょっと増えた
5000000,3,心の器がサイズアップした
7000000,3,お母さんに電話したくなった
9000000,4,ちょっとグレてみたくなった
9000000,4,口内炎が治った
9000000,4,いい侵略方法を思いついた
9000000,4,大人の階段をひとつのぼった
9000000,4,空を飛べるようになった。気がする
9000000,4,待ち人が来る気がした
9000000,4,ガチャを引くなら今な気がした
9000000,4,二重跳びを覚えた
9000000,4,いい句が浮かんだ
9000000,4,来世は大富豪になれる気がする
9000000,5,金銭運がアップした気がする
9000000,5,決意がみなぎった
9000000,5,懐かしい香りがした
9000000,5,肩の違和感が消えた
9000000,5,筋肉が喜んでいる
9000000,5,加齢臭が薄くなった
9000000,5,近所のネコも祝福しているようだ
9000000,5,信仰心が芽生えた
9000000,5,猫がより好きになった
9000000,5,親戚のおじさんの昇進が決まった
17060000,6,神社の耐震性が2あがった
17120000,6,明日はもっといい日になると思った
17180000,6,ピーマンのおいしさを理解した
17240000,6,布団からお日様の香りがした
17300000,6,ちょっぴり涙もろくなった
17360000,6,卵から黄身が2つ出てきた
17420000,6,棒アイスで当たりが出た
17480000,6,知らないおばちゃんからアメを貰った
17540000,6,毛並みの良さに磨きがかかった
17600000,6,渾身の一発ギャグがひらめいた
17660000,7,神社のリフォーム費用が溜まった
17720000,7,洗濯物が早く乾いた
17780000,7,蚊に刺されにくくなった
17840000,7,雨上がりに虹が見えた
17900000,7,お隣さんのギックリ腰が治った
17960000,7,世界にまた1匹、新たなネコが生まれた
18020000,7,あの頃の情熱を取り戻した
18080000,7,好きな惣菜が半額で買えた
18140000,7,どこかで茶柱が立った
18200000,7,忘れていたパスワードを思い出した
-1,8,新たな境地に至った
