GatyaSetID	BannerON_OFF	ItemID_Ticket	animeID	btnCutID	seriesID	menuCutID	CharaID	waitmaanimON_OFF	imgID
0	0	23	2	0	0	4	-1	0	-1
1	0	24	2	0	1	4	-1	0	-1
2	0	25	2	0	2	4	-1	0	-1
3	0	26	2	0	0	4	-1	0	-1
4	0	27	2	0	0	4	-1	0	-1
5	0	28	2	0	0	4	-1	0	-1
6	0	45	2	0	0	4	-1	0	-1
7	0	46	2	0	0	4	-1	0	-1
8	0	47	2	0	0	4	-1	0	-1
9	0	48	2	0	0	4	-1	0	-1
10	0	49	2	0	0	4	-1	0	-1
11	0	75	2	0	0	4	-1	0	-1
12	0	111	4	0	3	4	-1	0	-1
13	1	137	4	0	3	4	-1	0	-1
14	0	158	5	0	4	4	-1	0	-1
15	0	162	6	0	5	4	-1	0	-1
16	0	163	6	0	6	4	-1	0	-1
17	0	185	6	0	7	4	-1	0	-1
18	0	166	6	0	8	4	-1	0	-1
19	0	172	6	0	9	4	-1	0	-1
20	0	173	5	0	4	4	-1	0	-1
21	0	178	6	0	10	4	-1	0	-1
22	1	185	6	0	7	4	-1	0	-1
23	1	200	6	0	8	4	-1	0	-1
24	0	195	6	0	9	4	-1	0	-1
25	1	163	6	0	6	4	-1	0	-1
26	1	196	5	0	4	4	-1	0	-1
27	0	198	6	0	11	4	-1	0	-1
28	0	199	6	0	7	4	-1	0	-1
29	1	202	6	0	9	4	-1	0	-1
30	1	178	6	0	10	4	-1	0	-1
31	1	203	5	0	4	4	-1	0	-1
32	1	204	6	0	12	4	-1	0	-1
33	0	205	4	0	3	4	-1	0	-1
34	1	206	8	0	13	4	-1	0	-1
35	1	199	6	0	7	4	-1	0	-1
36	0	208	6	0	7	4	-1	0	-1
37	1	213	6	0	8	4	-1	0	-1
38	1	214	8	0	14	4	-1	0	-1
39	1	215	6	0	15	4	-1	0	-1
40	1	216	6	0	12	4	-1	0	-1
41	0	220	6	0	16	4	-1	0	-1
42	0	221	8	0	17	4	-1	0	-1
43	1	220	6	0	16	4	-1	0	-1
44	1	227	8	0	13	4	-1	0	-1
